code	speaker	gender	stim	rep	sent	metre_ID	stim_metre	ana_text	nuc_pre_text	ana_has_word_end	nuc_is_new_word	tot_syls	ana_syls	tot_feet	cur_foot	foot_syls	wrd_end_syl	acc_phon	phr_phon	init_phon	fin_phon	v_text	phr_end_t	ana_end_t	foot_start_t	foot_end_t	stress_end_t	wrd_fin_syl_start_t	wrd_end_t	v_onset_t	v_offset_t	s_t	e_t	l_t	h_t	l_syl_start_t	l_syl_end_t	h_syl_start_t	h_syl_end_t	v_grand_mean_t	l_grand_mean_t	h_grand_mean_t	s_grand_mean_t	e_grand_mean_t	v_syl	l_syl	h_syl	l_syl_ratio	h_syl_ratio	s_f0	e_f0	v_onset_f0	l_f0	h_f0	lh_slope	lh_slope_z	lh_mean_f0	lh_med_f0	utt_mean_f0	utt_slope	utt_slope_z	spkr_f0_mean	spkr_f0_SD	spkr_f0_min	spkr_f0_med	location
F5_MDC1_r3	F5	F	MDC1	r3	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	1	3	2	H*	% H* L*H %	%	%	V	985	36	36	423	270	270	386	99	216	23	806	147	189	36	270	36	270	141	191	235	48	911	2	2	2	0.47	0.65	93.49	97.24	95.52	95.88	96.25	10.717	3.084	96.08	96.09	93.57	-0.774	-0.223	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r3	F5	F	MDC1	r3	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	985	36	423	985	718	718	985	486	651	23	806	567	769	423	718	718	985	586	670	875	48	911	5	5	6	0.49	0.19	93.49	97.24	90.37	89.58	98.04	48.113	13.846	93.94	94.31	93.57	-0.774	-0.223	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r4	F5	F	MDC1	r4	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	1	3	2	H*	% H* L*H %	%	%	V	1017	39	39	458	279	279	423	111	219	13	835	150	187	39	279	39	279	148	188	225	25	911	2	2	2	0.46	0.62	94.41	96.76	96.05	96.05	96.36	9.427	2.713	96.23	96.25	93.65	-1.847	-0.531	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r4	F5	F	MDC1	r4	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	1017	39	458	1017	745	745	1017	522	687	13	835	595	791	458	745	745	1017	589	667	870	25	911	5	5	6	0.48	0.17	94.41	96.76	90.78	90.27	97.60	40.488	11.651	93.68	93.34	93.65	-1.847	-0.531	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r6	F5	F	MDC1	r6	i VALed the VASes	132	MDC1_132	?	?	?	?	6	1	2	1	3	2	H*	% H* L*H %	%	%	V	943	23	23	394	240	240	343	75	179	6	766	120	169	23	240	23	240	133	184	239	20	904	2	2	2	0.45	0.67	92.00	95.50	93.41	94.21	94.71	10.333	2.973	94.52	94.55	92.95	0.187	0.054	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r6	F5	F	MDC1	r6	i VALed the VASes	132	MDC1_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	943	23	394	943	689	689	943	431	612	6	766	531	728	394	689	689	943	559	663	866	20	904	5	5	6	0.46	0.15	92.00	95.50	91.20	90.14	96.21	34.474	9.921	93.03	93.02	92.95	0.187	0.054	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r7	F5	F	MDC1	r7	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	1	3	2	H*	% H* L*H %	%	%	V	1012	39	39	444	268	268	389	95	210	13	819	149	182	39	268	39	268	135	192	227	25	908	2	2	2	0.48	0.62	92.94	95.92	94.48	95.00	95.12	3.763	1.083	95.07	95.08	93.47	-0.093	-0.027	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r7	F5	F	MDC1	r7	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	1012	39	444	1012	729	729	1012	482	665	13	819	566	777	444	729	729	1012	562	652	870	25	908	5	5	6	0.43	0.17	92.94	95.92	91.40	90.52	97.11	36.94	10.63	93.65	93.86	93.47	-0.093	-0.027	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r8	F5	F	MDC1	r8	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	1	3	2	H*	% H* L*H %	%	%	V	982	35	35	416	256	256	384	89	203	11	799	135	196	35	256	35	256	135	185	253	24	911	2	2	2	0.45	0.73	93.67	97.35	95.02	95.55	95.94	7.1	2.043	95.77	95.78	93.98	-0.129	-0.037	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r8	F5	F	MDC1	r8	i VALued the VASes	132	MDC1_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	982	35	416	982	709	709	982	483	653	11	799	559	768	416	709	709	982	591	670	882	24	911	5	5	6	0.49	0.22	93.67	97.35	91.90	90.80	97.54	37.839	10.889	94.30	94.52	93.98	-0.129	-0.037	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r3	F5	F	MDC2	r3	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	1	3	1	H*	% H* L*H %	%	%	V	706	35	35	343	195	35	195	82	143	8	688	99	120	35	195	35	195	125	144	167	17	775	2	2	2	0.40	0.53	90.53	91.89	91.16	91.37	91.51	6.322	1.819	91.46	91.47	89.48	-2.984	-0.859	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r3	F5	F	MDC2	r3	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	2	2	2	L*H	% H* L*H %	%	%	V	706	35	343	706	578	578	706	394	534	8	688	508	638	343	578	578	706	455	573	716	17	775	5	5	6	0.70	0.47	90.53	91.89	87.47	85.81	92.79	64.596	18.589	88.99	88.78	89.48	-2.984	-0.859	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r4	F5	F	MDC2	r4	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	1	3	1	(*)	% (*) L*H %	%	%	V	725	52	52	361	220	52	220	105	168	10	690	126	159	52	220	52	220	129	151	186	14	754	2	2	2	0.44	0.64	88.86	92.75	89.70	89.77	89.90	4.738	1.363	89.84	89.84	89.02	0.261	0.075	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r4	F5	F	MDC2	r4	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	2	2	2	L*H	% (*) L*H %	%	%	V 	725	52	361	725	599	599	725	405	556	10	690	507	649	361	599	599	725	447	551	705	14	754	5	5	6	0.61	0.40	88.86	92.75	87.21	85.54	93.30	67.498	19.424	89.22	89.06	89.02	0.261	0.075	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r5	F5	F	MDC2	r5	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	1	3	1	(*)	% (*) L*H %	%	%	V	682	42	42	328	199	42	195	89	149	5	663	78	109	42	199	42	199	126	114	149	9	770	2	2	2	0.23	0.43	89.73	92.30	89.80	89.66	89.98	12.091	3.48	89.86	89.87	89.04	1.475	0.424	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r5	F5	F	MDC2	r5	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	2	2	2	L*H	% (*) L*H %	%	%	V	682	42	328	682	572	572	682	376	536	5	663	463	617	328	572	572	682	450	536	707	9	770	5	5	6	0.55	0.41	89.73	92.30	87.35	85.87	94.09	65.263	18.781	89.26	88.47	89.04	1.475	0.424	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r6	F5	F	MDC2	r6	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	1	3	1	(*)	% (*) L*H %	%	%	V	680	40	40	329	187	40	187	83	144	7	659	74	94	40	187	40	187	125	114	138	13	768	2	2	2	0.23	0.37	88.93	93.22	89.84	89.74	89.88	7.367	2.12	89.83	89.84	89.08	1.565	0.45	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r6	F5	F	MDC2	r6	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	2	2	2	L*H	% (*) L*H %	%	%	V	680	40	329	680	567	567	680	373	531	7	659	489	621	329	567	567	680	447	565	717	13	768	5	5	6	0.67	0.48	88.93	93.22	87.61	85.91	94.22	77.255	22.232	89.68	89.33	89.08	1.565	0.45	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r7	F5	F	MDC2	r7	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	1	3	1	(*)	% (*) L*H %	%	%	V	698	35	35	351	216	35	216	102	165	5	679	335	107	309	351	35	216	139	381	143	10	767	2	4	2	0.62	0.40	89.92	93.56	90.36	87.37	90.32	-12.836	-3.694	88.60	88.32	89.09	2.306	0.663	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r7	F5	F	MDC2	r7	i LIVE in the VALLey	132	MDC2_132	?	?	?	?	6	1	2	2	2	2	L*H	% (*) L*H %	%	%	V	698	35	351	698	599	599	698	403	542	5	679	503	635	351	599	599	698	453	551	700	10	767	5	5	6	0.61	0.36	89.92	93.56	87.10	85.94	95.07	85.865	24.709	90.14	89.91	89.09	2.306	0.663	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_1	F5	F	MDC3	1	i've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	1	3	2	H*	% H* L*H L%	%	L%	V	1038	86	86	403	250	250	367	141	205	0	854	150	172	86	250	86	250	195	204	227	0	931	2	2	2	0.39	0.52	90.47	88.33	92.34	92.49	92.77	15.293	4.401	92.63	92.64	91.42	-0.645	-0.186	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_1	F5	F	MDC3	1	i've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	2	3	3	L*H	% H* L*H L%	%	L%	V	1038	86	403	1038	625	696	1038	465	573	0	854	565	782	403	625	696	1038	527	631	853	0	931	5	5	7	0.73	0.25	90.47	88.33	90.07	88.49	93.95	28.706	8.261	91.56	92.08	91.42	-0.645	-0.186	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_2	F5	F	MDC3	2	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	1	3	2	H*	% H* L*H L%	%	L%	V	1057	84	84	380	222	222	345	144	190	13	829	129	166	84	222	84	222	212	193	239	21	913	2	2	2	0.33	0.59	91.38	87.97	94.56	94.09	94.88	22.023	6.337	94.62	94.67	92.59	-1.002	-0.288	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_2	F5	F	MDC3	2	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	2	3	3	L*H	% H* L*H L%	%	L%	V	1057	84	380	1057	607	669	1057	437	550	13	829	524	741	380	607	669	1057	520	609	829	21	913	5	5	7	0.63	0.19	91.38	87.97	90.22	89.00	95.72	35.949	10.345	92.88	93.74	92.59	-1.002	-0.288	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_3	F5	F	MDC3	3	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	1	3	2	H*	% H* L*H L%	%	L%	V	1030	78	78	385	231	231	346	117	188	7	840	131	165	78	231	78	231	181	197	235	12	935	2	2	2	0.35	0.57	90.56	88.06	90.94	91.34	92.71	41.919	12.063	92.14	92.17	91.16	-0.245	-0.07	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_3	F5	F	MDC3	3	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	2	3	3	L*H	% H* L*H L%	%	L%	V	1030	78	385	1030	616	671	1030	442	555	7	840	513	749	385	616	671	1030	519	590	841	12	935	5	5	7	0.55	0.22	90.56	88.06	90.25	88.65	93.57	24.045	6.919	90.88	90.99	91.16	-0.245	-0.07	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_4	F5	F	MDC3	4	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	1	3	2	H*	% H* L*H L%	%	L%	V	1157	120	120	486	288	288	435	188	239	13	945	181	218	120	288	120	288	207	199	237	15	927	2	2	2	0.36	0.58	91.35	87.27	92.33	92.14	93.32	34.767	10.005	92.73	92.74	91.67	-1.755	-0.505	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_4	F5	F	MDC3	4	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	2	3	3	L*H	% H* L*H L%	%	L%	V	1157	120	486	1157	720	772	1157	541	659	13	945	624	843	486	720	772	1157	516	598	828	15	927	5	5	7	0.59	0.18	91.35	87.27	90.57	89.11	93.55	23.269	6.696	91.49	91.69	91.67	-1.755	-0.505	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
