stimMetre,numReps,numSyls,phrDur,s1,s2,s3,s4,s5,s6,s7,s8,s9
MDC1_0132,5,6,1.049,0.114,0.222,0.127,0.06,0.265,0.26,0,0,0
MDC1_132,50,6,1.084,0.075,0.244,0.141,0.061,0.305,0.258,0,0,0
MDC2_0132,3,6,0.817,0.104,0.186,0.101,0.053,0.251,0.122,0,0,0
MDC2_132,50,6,0.796,0.073,0.177,0.098,0.054,0.243,0.151,0,0,0
MDC3_0133,5,7,1.185,0.205,0.179,0.102,0.055,0.224,0.063,0.356,0,0
MDC3_133,50,7,1.132,0.137,0.172,0.099,0.054,0.231,0.067,0.371,0,0
MDQ1_132,50,6,1.079,0.078,0.238,0.13,0.06,0.303,0.27,0,0,0
MDQ2_0132,3,6,0.783,0.103,0.18,0.088,0.053,0.236,0.124,0,0,0
MDQ2_132,47,6,0.797,0.081,0.174,0.09,0.054,0.237,0.16,0,0,0
MDQ3_0133,3,7,1.072,0.209,0.144,0.071,0.046,0.221,0.052,0.329,0,0
MDQ3_133,50,7,1.118,0.132,0.17,0.091,0.052,0.226,0.066,0.383,0,0
MWH1_0122,1,5,0.974,0.113,0.28,0.092,0.252,0.237,0,0,0,0
MWH1_0132,54,6,1.169,0.155,0.248,0.137,0.066,0.298,0.265,0,0,0
MWH2_0332,49,8,1.066,0.15,0.093,0.079,0.187,0.096,0.054,0.24,0.166,0
MWH2_332,2,8,0.912,0.097,0.064,0.072,0.15,0.124,0.039,0.229,0.137,0
MWH3_0233,29,8,1.192,0.194,0.08,0.164,0.076,0.049,0.217,0.059,0.354,0
MWH3_0333,26,9,1.393,0.165,0.134,0.082,0.187,0.084,0.049,0.229,0.074,0.391
MYN1_222,1,6,1.033,0.139,0.075,0.295,0.081,0.241,0.202,0,0,0
MYN1_232,54,7,1.283,0.149,0.099,0.248,0.149,0.063,0.301,0.273,0,0
MYN2_1132,4,7,0.942,0.096,0.118,0.179,0.099,0.059,0.23,0.163,0,0
MYN2_132,5,6,0.829,0.127,0.163,0.094,0.058,0.228,0.158,0,0,0
MYN2_232,44,7,0.89,0.075,0.074,0.18,0.1,0.051,0.243,0.167,0,0
MYN3_233,54,8,1.196,0.148,0.091,0.171,0.087,0.047,0.218,0.065,0.367,0
