intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,0.04,0.0019977890111686574,0.8241698517979558,0.06,-2.09,0.03699367948295944,NA,NA
ana_syls1,0.1,0.004939191825221585,2.1562263017011687,0.16,-1.46,0.14305881086646652,NA,NA
ana_syls2,0.01,1.7288358369374926e-4,0.1959873529523393,0.01,-2.87,0.004127155962710056,NA,NA
ana_syls3,0.01,1.7173958823167817e-4,0.20655626060631305,0.01,-2.83,0.004630564162833218,NA,NA
foot_syls1,0.04,0.0019977890111686574,0.8241698517979558,0.06,-2.09,0.03699367948295944,NA,NA
foot_syls2,0.05,0.0013402234855404583,1.6328115762338071,0.08,-1.69,0.09113031800329977,NA,NA
foot_syls3,0.02,5.221280491902423e-4,0.4462935769476511,0.03,-2.43,0.015164455226134637,NA,NA
foot_syls4,0.02,4.283871051076857e-4,0.6586824328079811,0.03,-2.18,0.029035886839887077,NA,NA
wrd_end_syl1,0.04,0.0019977890111686574,0.8241698517979558,0.06,-2.09,0.03699367948295944,NA,NA
wrd_end_syl2,0,1.2222687310844027e-4,0.08044852174330729,0.01,-3.48,4.972499170137361e-4,NA,NA
wrd_end_syl3,0,5.691256774538012e-5,0.10965728698075163,0,-3.11,0.0018993932344146393,NA,NA
