intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,111.87,2.658007687341886,4708.302751439184,213.45,2.47,0.013424627535140529,NA,NA
ana_syls1,56.7,1.8116516030922984,1774.4036888298251,99.61,2.3,0.021550831523846833,NA,NA
ana_syls2,279.34,5.915804259012841,13190.244157746767,549.4,2.86,0.004186003338727525,NA,NA
ana_syls3,292.44,5.946916998219057,14380.676338971001,581.22,2.86,0.004276426232518356,NA,NA
foot_syls1,111.87,2.658007687341886,4708.302751439184,213.45,2.47,0.013424627535140529,NA,NA
foot_syls2,319.2,5.190912848922783,19628.29060449996,670.81,2.74,0.006076242960472985,NA,NA
foot_syls3,1137.6,17.969707754632527,72017.38714826157,2407.57,3.32,8.845136075572431e-4,NA,NA
foot_syls4,1235.86,17.391367211216917,87822.80166361158,2688.4,3.27,0.001064646116807641,NA,NA
wrd_end_syl1,111.87,2.658007687341886,4708.302751439184,213.45,2.47,0.013424627535140529,NA,NA
wrd_end_syl2,1569.34,30.236034052256755,81453.90466518833,3162.27,3.65,2.6043874173231846e-4,NA,NA
wrd_end_syl3,1811.58,25.285289010292356,129791.13278276914,3948.32,3.44,5.77298685335207e-4,NA,NA
