intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,184.03,151.50699921552695,216.54403479179638,15.51,11.86,18.55,4.2159240338807593e-10,NA,NA
acc_phon>H*,151.79,118.13642423705718,185.44209914099557,16.27,9.33,23.17,2.6109661213924194e-9,NA,NA
acc_phonH*,104.19,71.36906400246158,137.01822707007696,15.73,6.62,19.86,1.954617685657453e-6,NA,NA
ana_syls0,184.03,151.50695036131185,216.54401070615074,15.51,11.86,18.55,4.2160089157573105e-10,NA,NA
ana_syls1,146.68,90.80851849111647,202.55077829426276,23.92,6.13,7.46,3.7073496358643537e-4,NA,NA
ana_syls2,184.81,128.28329952748987,241.34460007059243,24.92,7.42,8.85,4.427503675209757e-5,NA,NA
ana_syls3,196.31,139.78359855730696,252.84035443585367,24.93,7.88,8.86,2.750580519724895e-5,NA,NA
foot_syls1,184.03,151.50697132867532,216.54398844677957,15.51,11.86,18.55,4.215870898482506e-10,NA,NA
foot_syls2,223.65,189.32126823571346,257.98463805877776,16.38,13.65,18.63,3.774626434767818e-11,NA,NA
foot_syls3,250.64,206.74544331030742,294.5343949824231,20.29,12.36,12.8,1.7461330722971803e-8,NA,NA
foot_syls4,251.85,211.8636858509178,291.830236636284,18.85,13.36,15.92,4.5640806812703145e-10,NA,NA
wrd_end_syl1,184.03,151.50690152355418,216.54397205554898,15.51,11.86,18.55,4.2160534492132277e-10,NA,NA
wrd_end_syl2,190.34,157.36589676436802,223.31452270284683,15.8,12.05,19.77,1.4659285095168653e-10,NA,NA
wrd_end_syl3,200.4,170.38247797074942,230.42525089799707,14.69,13.65,29.31,3.1241847549898576e-14,NA,NA
