intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-32.24,-43.99184251201607,-20.48050957690817,5.99,-5.39,614.9,1.0314176864605928e-7,NA,NA
acc_phonL*H,acc_phonH*,-79.83,-88.98366103506915,-70.6800490879372,4.65,-17.17,287.66,5.66196097559189e-46,NA,NA
acc_phon>H*,acc_phonH*,-47.6,-59.97427097437452,-35.217038724063315,6.3,-7.56,399.87,2.8045314232041675e-13,NA,NA
ana_syls0,ana_syls1,-37.35,-98.59399062673825,23.90237754701745,24.93,-1.5,5.9,0.18557092767755023,NA,NA
ana_syls0,ana_syls2,0.79,-59.99074731000616,61.567793503632544,25.42,0.03,6.64,0.9761692305829527,NA,NA
ana_syls0,ana_syls3,12.29,-48.594736367920305,73.1678005329389,25.5,0.48,6.68,0.645296034204299,NA,NA
ana_syls1,ana_syls2,38.13,24.8127967021033,51.45586251759157,6.78,5.62,645.44,2.8245470254822914e-8,NA,NA
ana_syls1,ana_syls3,49.63,36.2510550758495,63.01362202081044,6.81,7.28,657.99,9.35490077558568e-13,NA,NA
ana_syls2,ana_syls3,11.5,-1.9412155739230226,24.937233219748883,6.84,1.68,672,0.09344457130702251,NA,NA
foot_syls1,foot_syls2,39.63,21.702345598468074,57.55627929048798,8.77,4.52,29.09,9.533095674598011e-5,NA,NA
foot_syls1,foot_syls3,66.61,40.04096310269712,93.1817110288887,12.58,5.3,16.73,6.253750805111359e-5,NA,NA
foot_syls1,foot_syls4,67.79,42.85215101911156,92.72103458273143,12.31,5.51,37.3,2.8525958272301907e-6,NA,NA
foot_syls2,foot_syls3,26.98,0.8914587724708944,53.07245164521366,12.36,2.18,16.94,0.043444290027941715,NA,NA
foot_syls2,foot_syls4,28.16,7.071289764610459,49.243182581612245,10.59,2.66,75.54,0.009541444519694036,NA,NA
foot_syls3,foot_syls4,1.18,-17.671681940664595,20.023109592996644,9.21,0.13,28.31,0.8992753528840889,NA,NA
wrd_end_syl1,wrd_end_syl2,6.31,-6.679257795187364,19.30876689288404,6.61,0.96,393.29,0.3399461141160057,NA,NA
wrd_end_syl1,wrd_end_syl3,16.38,-13.260920911810366,46.01771367468763,14.79,1.11,54.63,0.2728944747334093,NA,NA
wrd_end_syl2,wrd_end_syl3,10.06,-16.148610311889108,36.27587774160718,12.93,0.78,36.15,0.44132269694034254,NA,NA
intercept,pn_new_wordTRUE,-21.528,-80.52517541458577,37.46974983325026,23.87,-0.902,5.76,0.40324049978432414,NA,NA
intercept,genderM,-19.958,-43.31418901269063,3.397948846394666,10.519,-1.897,10.26,0.08624231235529713,NA,NA
