intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.72,-12.251622047478083,15.686204866028525,7.11,0.24,467.05,0.8092136416975388,NA,NA
foot_syls1,foot_syls3,6.78,-6.975819840255249,20.526039005393557,7,0.97,472.35,0.3334605260329021,NA,NA
foot_syls1,foot_syls4,18.51,1.3524289479328502,35.675717567901366,8.73,2.12,464.79,0.034540409279392205,NA,NA
foot_syls2,foot_syls3,5.06,-7.659017938896041,17.77470259968597,6.47,0.78,465.83,0.4348691850138503,NA,NA
foot_syls2,foot_syls4,16.8,0.47317511827140635,33.120466513076245,8.31,2.02,452.06,0.043744979986333206,NA,NA
foot_syls3,foot_syls4,11.74,1.3505717534438624,22.12735550173838,5.29,2.22,471.72,0.026861145938528144,NA,NA
intercept,acc_phonL*,25.457,6.081734217367817,44.8331698243405,9.861,2.582,475.84,0.010128535618115091,NA,NA
intercept,has_ana_sylsTRUE,-23.919,-136.09253172786404,88.25483129310015,45.147,-0.53,5.65,0.6164245766598127,NA,NA
intercept,wrd_end_syl_lateTRUE,22.022,10.853423334971733,33.1904490480031,5.684,3.875,469.6,1.2196810801401214e-4,NA,NA
intercept,pn_new_wordTRUE,27.872,-84.28220218676024,140.02650134287765,45.063,0.619,5.61,0.5604949397197952,NA,NA
intercept,genderM,-69.36,-85.07830769929123,-53.64232186210941,7.03,-9.867,9.75,2.1877107837716856e-6,NA,NA
