intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,11.41,0.9013863839545699,21.923887865062127,5.35,2.13,766.11,0.03337331437080361,NA,NA
foot_syls1,foot_syls3,117.13,108.79075164012454,125.46306574635958,4.25,27.58,766.11,7.595310832133754e-117,NA,NA
foot_syls1,foot_syls4,248.91,235.66458198747512,262.15282923710356,6.75,36.89,767.54,3.489416071894926e-172,NA,NA
foot_syls2,foot_syls3,105.71,94.50025544983302,116.92828768768479,5.71,18.51,766.25,1.743860988355948e-63,NA,NA
foot_syls2,foot_syls4,237.5,223.8571776814185,251.1349592945696,6.95,34.18,767.46,2.3539567711358534e-156,NA,NA
foot_syls3,foot_syls4,131.78,118.0077024076017,145.5558914307345,7.02,18.78,767.51,4.8400824269585274e-65,NA,NA
pre_syls0,pre_syls1,-31.24,-39.630041231527436,-22.854307442089933,4.27,-7.31,766.24,6.645726228800757e-13,NA,NA
pre_syls0,pre_syls2,-31.4,-44.68123239497146,-18.117814783577522,6.77,-4.64,767.78,4.078471404383666e-6,NA,NA
pre_syls0,pre_syls3,-36.05,-49.80083681239139,-22.29561724913352,7.01,-5.15,768.18,3.3899952381042045e-7,NA,NA
pre_syls1,pre_syls2,-0.16,-10.447446088971098,10.13274758329812,5.24,-0.03,768.01,0.9760606883252546,NA,NA
pre_syls1,pre_syls3,-4.81,-15.679313023813876,6.067207636394254,5.54,-0.87,767.74,0.3858379855385137,NA,NA
pre_syls2,pre_syls3,-4.65,-12.72544293058361,3.428036049763188,4.11,-1.13,758.91,0.25887861064445367,NA,NA
intercept,fin_phonL%,-6.716,-19.65087280344973,6.219193336552224,6.589,-1.019,769.52,0.3084226997115707,NA,NA
intercept,nuc_new_wordTRUE,-5.961,-14.062085618367181,2.1397673507941617,4.127,-1.445,767.91,0.14899541193717253,NA,NA
intercept,genderM,-47.861,-84.38941273223611,-11.33262898937717,16.147,-2.964,9,0.0158570859518037,NA,NA
