intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,2.09,-6.557279074727386,10.734310942909758,4.4,0.47,767.35,0.6354883456018432,NA,NA
foot_syls1,foot_syls3,2.92,-3.914344730741153,9.757460070594291,3.48,0.84,767.36,0.4017411285854102,NA,NA
foot_syls1,foot_syls4,0.63,-10.26706520555164,11.524416709922944,5.55,0.11,768.93,0.9098486975276396,NA,NA
foot_syls2,foot_syls3,0.83,-8.3510884114156,10.017171882878486,4.68,0.18,767.81,0.8587242406696246,NA,NA
foot_syls2,foot_syls4,-1.46,-12.684570452418253,9.764890080098969,5.72,-0.26,768.8,0.7985547213638459,NA,NA
foot_syls3,foot_syls4,-2.29,-13.594013876312125,9.008250038467835,5.76,-0.4,769.05,0.6905320674227327,NA,NA
pre_syls0,pre_syls1,-7.8,-14.680674741674483,-0.9282642249560231,3.5,-2.23,767.76,0.026165137425327882,NA,NA
pre_syls0,pre_syls2,-6.05,-16.963829891006885,4.860381316323462,5.56,-1.09,769.22,0.27663344504620546,NA,NA
pre_syls0,pre_syls3,-13.48,-24.774632863605078,-2.1804557811072076,5.75,-2.34,769.54,0.019437878812404774,NA,NA
pre_syls1,pre_syls2,1.75,-6.714747992179207,10.22023838415891,4.31,0.41,768.91,0.6846013265509029,NA,NA
pre_syls1,pre_syls3,-5.67,-14.618433894695709,3.2722842099507297,4.56,-1.24,767.98,0.2135278746961745,NA,NA
pre_syls2,pre_syls3,-7.43,-14.066809928132503,-0.7848301537005815,3.38,-2.2,751.77,0.02845958119160377,NA,NA
intercept,fin_phonL%,3.721,-6.898194410745455,14.339196568976824,5.409,0.688,775.05,0.4917895817657695,NA,NA
intercept,nuc_new_wordTRUE,-4.984,-11.64918454578033,1.680831567946572,3.395,-1.468,768.4,0.1425139985438538,NA,NA
intercept,genderM,-54.139,-71.35685431198468,-36.92200583867615,7.607,-7.117,8.97,5.670450319615828e-5,NA,NA
