intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,1.5,0.3968952309893339,2.594548875735833,0.51,2.96,12.2,0.011725336928533496,NA,NA
acc_phon>H*,1.73,0.5857846074612258,2.878334043158885,0.54,3.18,17.27,0.005346285663158787,NA,NA
acc_phonH*,1.53,0.4350322434370417,2.6302345538419045,0.51,3.01,13.22,0.009855656868513033,NA,NA
ana_syls0,1.5,0.3968952309893339,2.594548875735833,0.51,2.96,12.2,0.011725336928533496,NA,NA
ana_syls1,1.79,0.014018830119137293,3.5673911813759416,0.7,2.55,5.3,0.04875972555077483,NA,NA
ana_syls2,1.87,0.09033216813263323,3.6407151941978753,0.75,2.48,7.1,0.04187612441379556,NA,NA
ana_syls3,1.17,-0.6066369928528794,2.9431319242153045,0.75,1.55,7.11,0.16405524171831162,NA,NA
foot_syls1,1.5,0.3968952309893339,2.594548875735833,0.51,2.96,12.2,0.011725336928533496,NA,NA
foot_syls2,2.24,1.1097249952672996,3.3704089834438014,0.53,4.25,14.15,7.958208273085198e-4,NA,NA
foot_syls3,2.51,1.5050659319998752,3.5234864941742123,0.44,5.66,8.72,3.464551247687666e-4,NA,NA
foot_syls4,2.17,1.1379900405871748,3.2104465164872567,0.47,4.59,11.58,6.809384919727316e-4,NA,NA
wrd_end_syl1,1.5,0.3968952309893339,2.594548875735833,0.51,2.96,12.2,0.011725336928533496,NA,NA
wrd_end_syl2,1.6,0.4949156354274147,2.7078567403293388,0.52,3.1,14.24,0.007713215719517057,NA,NA
wrd_end_syl3,1.64,0.6010636864163255,2.669404773067519,0.51,3.21,34.71,0.002849684398308062,NA,NA
