intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,0.24,-0.2133519621357347,0.6860073312286229,0.23,1.03,614.73,0.3024382745255051,NA,NA
acc_phonL*H,acc_phonH*,0.04,-0.31739498437403324,0.39118268487856156,0.18,0.2,540.09,0.8379936276288551,NA,NA
acc_phon>H*,acc_phonH*,-0.2,-0.6912333770508985,0.29235055115544184,0.25,-0.8,686.56,0.4261632012065193,NA,NA
ana_syls0,ana_syls1,0.3,-1.855413688764402,2.445427486939433,0.69,0.42,3.16,0.6984656778347518,NA,NA
ana_syls0,ana_syls2,0.37,-1.642115455924145,2.381772982919146,0.73,0.51,4.05,0.6380060331371749,NA,NA
ana_syls0,ana_syls3,-0.33,-2.342989544571364,1.688168829994086,0.73,-0.45,4.07,0.6770603776999901,NA,NA
ana_syls1,ana_syls2,0.07,-0.43284005149801685,0.5824840184101758,0.26,0.29,604.75,0.7723366904797729,NA,NA
ana_syls1,ana_syls3,-0.62,-1.132988693114459,-0.11185022881634876,0.26,-2.39,625.76,0.016960849623056592,NA,NA
ana_syls2,ana_syls3,-0.7,-1.2167714957655984,-0.17770638713135056,0.26,-2.64,677.79,0.008604110239154757,NA,NA
foot_syls1,foot_syls2,0.74,0.04150857645485817,1.4470630963859314,0.34,2.2,21.09,0.03893970446441343,NA,NA
foot_syls1,foot_syls3,1.03,0.4235893086897622,1.6331008076909714,0.3,3.47,31.27,0.0015542255079951312,NA,NA
foot_syls1,foot_syls4,0.68,-0.27034042452218643,1.6271827169160011,0.47,1.46,32.14,0.15501634805955358,NA,NA
foot_syls2,foot_syls3,0.28,-0.3732325941749405,0.9413217494982705,0.32,0.88,29.25,0.38415547917202075,NA,NA
foot_syls2,foot_syls4,-0.07,-1.109926044214248,0.9781496592066001,0.51,-0.13,24.28,0.8975032344426166,NA,NA
foot_syls3,foot_syls4,-0.35,-1.1029545340792186,0.40235090007108626,0.36,-0.96,23.85,0.3462421196518347,NA,NA
wrd_end_syl1,wrd_end_syl2,0.11,-0.37447149048300465,0.5857434503522431,0.24,0.43,171.78,0.6646140421815643,NA,NA
wrd_end_syl1,wrd_end_syl3,0.14,-0.9202497921942194,1.1992602326094606,0.51,0.27,20.26,0.7865787839891553,NA,NA
wrd_end_syl2,wrd_end_syl3,0.03,-0.8984711414898033,0.9661044586632,0.43,0.08,14.01,0.9390942461503398,NA,NA
intercept,pn_new_wordTRUE,-0.838,-2.8226153116626946,1.1473036032705972,0.666,-1.257,3.4,0.2880635388333064,NA,NA
intercept,genderM,1.416,0.9071163588830108,1.9242535814325534,0.226,6.254,9.42,1.2222207750644086e-4,NA,NA
