intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,0.87,0.51761043908813,1.2244281213384616,0.18,4.84,450.04,1.7568716249255186e-6,NA,NA
ana_syls0,ana_syls2,0.19,-0.36379736233694826,0.7537613465786178,0.28,0.69,452.76,0.4932228198794606,NA,NA
ana_syls0,ana_syls3,0.07,-0.49282978423763657,0.6291755748308532,0.29,0.24,452.81,0.8113589269600634,NA,NA
ana_syls1,ana_syls2,-0.68,-1.1089280121297214,-0.24314780571466266,0.22,-3.07,453.85,0.0022762131549182753,NA,NA
ana_syls1,ana_syls3,-0.8,-1.238630302896752,-0.3670636618404213,0.22,-3.62,453.71,3.271552399846448e-4,NA,NA
ana_syls2,ana_syls3,-0.13,-0.5715575820194558,0.31793934832063847,0.23,-0.56,445.73,0.5755173350900966,NA,NA
foot_syls1,foot_syls2,-0.26,-0.9280789413292576,0.4175573661283924,0.25,-1,4.58,0.3660473061628552,NA,NA
foot_syls1,foot_syls3,-0.16,-1.0738873330503595,0.7443754499537557,0.4,-0.41,8.77,0.6905005924982517,NA,NA
foot_syls1,foot_syls4,-0.06,-0.9334372734264883,0.8073935432050018,0.4,-0.16,13.05,0.878144105962207,NA,NA
foot_syls2,foot_syls3,0.09,-0.8287097014273921,1.0097113095138632,0.35,0.26,4.61,0.8062636671696616,NA,NA
foot_syls2,foot_syls4,0.19,-0.599002694553112,0.9834726922633406,0.38,0.51,17.94,0.6158952306432222,NA,NA
foot_syls3,foot_syls4,0.1,-0.5845507941040229,0.7880170493636585,0.33,0.31,17.65,0.7587861018491954,NA,NA
wrd_end_syl1,wrd_end_syl2,-0.2,-0.5618098481210486,0.15462751162313862,0.18,-1.12,458.77,0.2646307335361558,NA,NA
wrd_end_syl1,wrd_end_syl3,-0.36,-0.9334178808063653,0.20431115677747508,0.29,-1.26,457.94,0.20854206092405078,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.16,-0.6037117218574694,0.28178832988884805,0.23,-0.71,455.86,0.4753199426036835,NA,NA
intercept,acc_phonL*,-0.622,-1.6006915461781588,0.3568355151834659,0.496,-1.255,157.3,0.21131821271492263,NA,NA
intercept,pn_new_wordTRUE,-0.732,-1.2196937150592477,-0.24507576565618178,0.248,-2.953,459.69,0.003303644421493091,NA,NA
intercept,genderM,0.975,0.3141181253772607,1.6352180925468416,0.272,3.588,6.16,0.01102995723612108,NA,NA
