intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-32.514807809720395,-135.81205359950664,70.78243798006585,41.20323964565087,-0.7891323131226754,5.4581593535627935,0.46292215769700273,NA,NA
ana_syls0,ana_syls2,-31.099388070303103,-134.24474425572058,72.04596811511438,41.264541281248235,-0.7536588825339866,5.518465178577409,0.4819570629736081,NA,NA
ana_syls0,ana_syls3,-20.6065458965521,-123.76073444388769,82.5476426507835,41.30359333743369,-0.4989044349774833,5.536277711324134,0.6370416633545081,NA,NA
ana_syls1,ana_syls2,1.415419741402918,-8.908437117701236,11.739276600507072,5.253699666806866,0.26941390470902055,466.3253834513105,0.7877303546482278,NA,NA
ana_syls1,ana_syls3,11.908261914979132,1.56585846341296,22.250665366545306,5.263141964839477,2.262576611942545,466.4662843556769,0.024120923714063082,NA,NA
ana_syls2,ana_syls3,10.492842173624542,0.7788617100170079,20.206822637232076,4.9431486593124205,2.122704150088027,459.48560099078566,0.034312777539887165,NA,NA
foot_syls1,foot_syls2,1.5189114070942469,-12.127244333906717,15.165067148095211,6.944022431105342,0.21873653522349987,457.2314792159936,0.826952887068592,NA,NA
foot_syls1,foot_syls3,6.500600108801043,-6.942919739342052,19.94411995694414,6.841236669902306,0.9502083354900033,465.6472826642063,0.3424993172522499,NA,NA
foot_syls1,foot_syls4,18.28724005400288,1.5242842445579576,35.0501958634478,8.529860219064314,2.143908526558352,453.5025152984753,0.03257129540554396,NA,NA
foot_syls2,foot_syls3,4.981688703096647,-7.44650142595223,17.409878832145523,6.324277050341933,0.7877088026729163,458.10862665530635,0.4312744249498036,NA,NA
foot_syls2,foot_syls4,16.768328648847323,0.8334718533849337,32.70318544430971,8.107667286822057,2.068206310846281,437.1180045853549,0.03920825137411297,NA,NA
foot_syls3,foot_syls4,11.786639945620097,1.630254278458107,21.943025612782087,5.168468799401895,2.2804897162161586,466.0973404179297,0.023029300831113993,NA,NA
wrd_end_syl1,wrd_end_syl2,23.555831196090967,12.325546746969609,34.78611564521233,5.71464690483397,4.122009913887295,456.3814987700602,4.461724775727678e-5,NA,NA
wrd_end_syl1,wrd_end_syl3,14.532510678519651,-10.229328575356975,39.29434993239628,12.584831792477065,1.154763998292521,312.1026130564389,0.24907045950576123,NA,NA
wrd_end_syl2,wrd_end_syl3,-9.023320529404952,-31.045827376567576,12.999186317757673,11.178895022044692,-0.8071746368143753,237.38804547679175,0.4203738714325116,NA,NA
intercept,acc_phonL*,24.379,5.398718105599851,43.35924536153857,9.659,2.524,471.18,0.011932483459551203,NA,NA
intercept,pn_new_wordTRUE,23.163,-79.83355398597877,126.15951596889752,40.54,0.571,5.2,0.591547938160526,NA,NA
intercept,genderM,-70.145,-85.80256391612009,-54.48649652207352,7.005,-10.013,9.77,1.8790190837628425e-6,NA,NA
