intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.37,0.7734893205959421,1.9573304168891383,0.3,4.53,763.98,6.895419180269124e-6,NA,NA
foot_syls1,foot_syls3,1.66,1.1937947585721251,2.129824725415901,0.24,6.97,763.99,6.8373889181295824e-12,NA,NA
foot_syls1,foot_syls4,1.65,0.911344028392901,2.397510781798754,0.38,4.37,705.2,1.4214763697582319e-5,NA,NA
foot_syls2,foot_syls3,0.3,-0.3324453281153169,0.9252450741918762,0.32,0.93,764.17,0.3551150559844857,NA,NA
foot_syls2,foot_syls4,0.29,-0.4766086858535331,1.0546437583306667,0.39,0.74,712.92,0.4588596762822764,NA,NA
foot_syls3,foot_syls4,-0.01,-0.7784269978280594,0.7636623238335642,0.39,-0.02,714.71,0.9850079492735833,NA,NA
pre_syls0,pre_syls1,0.5,0.028762295371117186,0.9703885437565635,0.24,2.08,764.15,0.0375832726237384,NA,NA
pre_syls0,pre_syls2,0.23,-0.5099421281978416,0.9712577642134852,0.38,0.61,679.24,0.5410632665319535,NA,NA
pre_syls0,pre_syls3,0.57,-0.19042308349831272,1.3364901674565126,0.39,1.47,579.62,0.1409750662018715,NA,NA
pre_syls1,pre_syls2,-0.27,-0.8404270705475276,0.3025918668260485,0.29,-0.92,546.41,0.3557448050557974,NA,NA
pre_syls1,pre_syls3,0.07,-0.526660974120208,0.673577222387268,0.31,0.24,402.46,0.8099606924484535,NA,NA
pre_syls2,pre_syls3,0.34,-0.09434801946356475,0.7790994644198438,0.22,1.55,142.39,0.12343035161701234,NA,NA
intercept,fin_phonL%,-5.602,-6.330217350492121,-4.8729887906356515,0.371,-15.092,768.33,2.89151368950597e-45,NA,NA
intercept,nuc_new_wordTRUE,0.275,-0.17234053220631768,0.7231460748405627,0.228,1.209,420.49,0.22732850626797843,NA,NA
intercept,genderM,-0.721,-2.602144430634456,1.1602967627843663,0.831,-0.867,8.99,0.40843269470279764,NA,NA
