intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.85,0.3070173350329827,1.3856902031733025,0.27,3.08,766.16,0.002140130599943055,NA,NA
foot_syls1,foot_syls3,2.29,1.8677662904994268,2.7206402269396817,0.22,10.56,766.17,1.959783468317759e-24,NA,NA
foot_syls1,foot_syls4,2.01,1.328894302927449,2.6839458582088294,0.35,5.81,758.92,9.009114036177018e-9,NA,NA
foot_syls2,foot_syls3,1.45,0.8748953153121267,2.020803663914249,0.29,4.96,766.46,8.658691430122642e-7,NA,NA
foot_syls2,foot_syls4,1.16,0.4619573789111643,1.858175243953149,0.36,3.26,760.43,0.001155175925159149,NA,NA
foot_syls3,foot_syls4,-0.29,-0.9906983492395873,0.41513199290351976,0.36,-0.8,760.9,0.4218127388369537,NA,NA
pre_syls0,pre_syls1,0.82,0.3911002870005132,1.2490402059281442,0.22,3.75,766.43,1.880581697605497e-4,NA,NA
pre_syls0,pre_syls2,0.75,0.06755050335849277,1.4237747645589636,0.35,2.16,752.94,0.03119057355119859,NA,NA
pre_syls0,pre_syls3,1.15,0.44635385015570184,1.8477095060886197,0.36,3.21,725.28,0.0013674805343141772,NA,NA
pre_syls1,pre_syls2,-0.07,-0.5992924599859196,0.4504772348118796,0.27,-0.28,715.34,0.7808508691127497,NA,NA
pre_syls1,pre_syls3,0.33,-0.22599368559113875,0.879916548992623,0.28,1.16,652.07,0.24603483203507148,NA,NA
pre_syls2,pre_syls3,0.4,-0.005067981008728961,0.8078060697720599,0.21,1.94,392.25,0.05291158390939088,NA,NA
intercept,fin_phonL%,-0.641,-1.3045079331667289,0.021997588040584937,0.338,-1.898,772.26,0.05807743781006611,NA,NA
intercept,nuc_new_wordTRUE,0.441,0.02879205493160536,0.8533854582849423,0.21,2.101,667.71,0.036046753695181566,NA,NA
intercept,genderM,0.097,-1.2321247507512727,1.4267380177116185,0.588,0.166,8.99,0.8721292568289953,NA,NA
