intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,21.23,11.787947253528044,30.663503234559833,4.81,4.41,765.11,1.1555552445013725e-5,NA,NA
foot_syls1,foot_syls3,95.95,88.47017170698099,103.4278702143368,3.81,25.18,765.1,2.086077431862183e-102,NA,NA
foot_syls1,foot_syls4,218.55,206.652260367945,230.4525098992241,6.06,36.05,766.74,3.037694640376934e-167,NA,NA
foot_syls2,foot_syls3,74.72,64.69497622175744,84.75161521139667,5.11,14.63,765.25,6.607848533185528e-43,NA,NA
foot_syls2,foot_syls4,197.33,185.069556946762,209.58376283204572,6.24,31.6,766.66,5.282247141402469e-141,NA,NA
foot_syls3,foot_syls4,122.6,110.259559281332,134.94716906250147,6.29,19.5,766.72,4.5144235826836833e-69,NA,NA
pre_syls0,pre_syls1,-33.47,-40.98944749402358,-25.954165477393374,3.83,-8.74,765.25,1.4560606897918907e-17,NA,NA
pre_syls0,pre_syls2,-37.79,-49.70437351134276,-25.865860224271508,6.07,-6.22,766.97,8.016032910918941e-10,NA,NA
pre_syls0,pre_syls3,-44.69,-57.02798619198291,-32.34674372042489,6.29,-7.11,767.19,2.6861453956614635e-12,NA,NA
pre_syls1,pre_syls2,-4.31,-13.5561771157277,4.929556352532944,4.71,-0.92,766.95,0.35990778514710675,NA,NA
pre_syls1,pre_syls3,-11.22,-20.98240415646901,-1.4487127862428224,4.98,-2.25,766,0.024462447110746303,NA,NA
pre_syls2,pre_syls3,-6.9,-14.167804892729617,0.36330869353454887,3.7,-1.86,751.16,0.06257640092727845,NA,NA
intercept,fin_phonL%,-45.81,-57.42854233838712,-34.19072814434571,5.919,-7.74,768.38,3.139005503694116e-14,NA,NA
intercept,nuc_new_wordTRUE,-12.681,-19.967953767300436,-5.394323025665461,3.712,-3.416,766.46,6.68251813578115e-4,NA,NA
intercept,genderM,-64.322,-97.91173658401553,-30.731993590757476,14.85,-4.331,9.01,0.0018983382047071606,NA,NA
