intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
pre_syls0,pre_syls1,-2.618274778750686,-6.887512668269979,1.6509631107686062,2.174760506630288,-1.2039370637678202,761.4913675694589,0.22898800627539698,NA,NA
pre_syls0,pre_syls2,-2.2577576441679006,-8.041000536430829,3.5254852480950283,2.945350217379135,-0.7665498081844149,669.0162798731109,0.4436196211449116,NA,NA
pre_syls0,pre_syls3,-6.957175682706701,-13.107393481699397,-0.8069578837140057,3.1324827987102406,-2.220978096215318,698.0073770188609,0.026672624196913217,NA,NA
pre_syls1,pre_syls2,0.3605171348817278,-4.454225160196201,5.175259429959657,2.451972987014131,0.14703144642745206,650.1224820252779,0.8831527825564349,NA,NA
pre_syls1,pre_syls3,-4.338900903559997,-9.499184711555994,0.8213829044359988,2.628226955576159,-1.6508851696975406,689.8485313657994,0.09921716447149478,NA,NA
pre_syls2,pre_syls3,-4.699418038369533,-9.514465866387305,0.11562978964823856,2.4510168040449813,-1.9173340756431994,522.9866563594433,0.05573994333547297,NA,NA
intercept,e_t,0.805,0.7829197653319613,0.8276280643465364,0.011,70.717,759.4,0,NA,NA
intercept,fin_phonL%,-43.718,-51.59635999934453,-35.83976348743269,4.013,-10.893,765.16,8.653654541802543e-26,NA,NA
intercept,nuc_new_wordTRUE,-12.808,-17.11665313460179,-8.499095987876794,2.195,-5.836,723.2,8.079902492327303e-9,NA,NA
intercept,genderM,-25.037,-43.111988452170216,-6.962933629341805,7.999,-3.13,9.07,0.012010732777367469,NA,NA
