intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,184.0255045764748,151.50701198775315,216.54399716519643,15.510950374650182,11.864231406299313,18.547420153011466,4.215753395663037e-10,NA,NA
acc_phon>H*,151.7892582201204,118.13643310311824,185.44208333712254,16.274721782925283,9.326688360311692,23.174249866152046,2.6109205777525077e-9,NA,NA
acc_phonH*,104.19356856453365,71.36893320879545,137.01820392027184,15.728758464595332,6.624398791491921,19.85825136200842,1.954727380133715e-6,NA,NA
ana_syls0,184.0254398540917,151.50685843285632,216.54402127532708,15.510983489625685,11.864201904229649,18.547260735192353,4.216367599613973e-10,NA,NA
ana_syls1,146.67963839921532,90.80854380922992,202.55073298920072,23.92206307024682,6.1315630666340315,7.4572602435720965,3.7073221328646664e-4,NA,NA
ana_syls2,184.81400366800756,128.28342670449402,241.3445806315211,24.923526200059644,7.415243019166577,8.846334846512192,4.4274015163611526e-5,NA,NA
ana_syls3,196.31195380185122,139.7832577911626,252.84064981253982,24.92750815034926,7.875313995197738,8.857337223904942,2.7508675890891254e-5,NA,NA
foot_syls1,184.02545293804243,151.50691418212256,216.5439916939623,15.510967741060222,11.864214793696924,18.547339991484908,4.216072649229557e-10,NA,NA
foot_syls2,223.65292967796867,189.32125281993888,257.98460653599847,16.380846981921792,13.653319020975912,18.629804645836494,3.774602540405561e-11,NA,NA
foot_syls3,250.64041571438628,206.74616130346627,294.5346701253063,20.28540507182007,12.35570178791101,12.798329179569508,1.745760130251664e-8,NA,NA
foot_syls4,251.81227522407278,211.81342984579885,291.8111206023467,18.860182512237312,13.351529077764011,15.91654464560604,4.625050512625487e-10,NA,NA
wrd_end_syl1,184.02549052962047,151.50697791310472,216.54400314613622,15.51095781778977,11.864224807481499,18.547383818066567,4.215892644086937e-10,NA,NA
wrd_end_syl2,190.34024281903754,157.36596320559065,223.31452243248444,15.795772151841822,12.050075234647105,19.767367342077776,1.465840547547405e-10,NA,NA
wrd_end_syl3,200.40386038040123,170.3824197320194,230.42530102878305,14.68559177542244,13.64629110253451,29.313962588249623,3.1249023980263917e-14,NA,NA
