intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,11.412637124491052,0.9013863839974707,21.923887864984636,5.354508899673539,2.1314068831199204,766.1079664887338,0.03337331437007096,NA,NA
foot_syls1,foot_syls3,117.12690869323609,108.7907516401727,125.46306574629948,4.246500100633474,27.58198655776874,766.1101097327713,7.595310669533961e-117,NA,NA
foot_syls1,foot_syls4,248.90870561213595,235.66458198739892,262.15282923687295,6.746674502071822,36.89354000044008,767.5412572880225,3.489415638005022e-172,NA,NA
foot_syls2,foot_syls3,105.71427156874597,94.50025544990753,116.92828768758442,5.712504459580841,18.50576613405442,766.2500822451105,1.7438609568132048e-63,NA,NA
foot_syls2,foot_syls4,237.4960684877671,223.85717768125173,251.13495929428248,6.94777126356117,34.183058059691426,767.4604068241534,2.35395667756359e-156,NA,NA
foot_syls3,foot_syls4,131.78179691879353,118.00770240723828,145.55589143034877,7.016645985474443,18.78130907439288,767.5131876232736,4.840082539070091e-65,NA,NA
pre_syls0,pre_syls1,-31.242174336789912,-39.63004123145737,-22.85430744212245,4.272842595609431,-7.311800900153186,766.2369239595382,6.645726226750541e-13,NA,NA
pre_syls0,pre_syls2,-31.399523590000733,-44.68123239563987,-18.1178147843616,6.765823987738641,-4.640901632514309,767.7754835965435,4.078471401869771e-6,NA,NA
pre_syls0,pre_syls3,-36.048227030276415,-49.80083681186338,-22.29561724868945,7.005711123840783,-5.145548595003084,768.183180901173,3.3899952390711153e-7,NA,NA
pre_syls1,pre_syls2,-0.15734924899427805,-10.447446085147888,10.132747587159333,5.241872049968559,-0.030017758444756744,768.014114224956,0.9760606889096681,NA,NA
pre_syls1,pre_syls3,-4.806052696280981,-15.679313026291494,6.067207633729533,5.538937892003513,-0.8676848865229942,767.739846019066,0.38583798528096036,NA,NA
pre_syls2,pre_syls3,-4.648703442485671,-12.725442932525526,3.428036047554185,4.11428914759085,-1.1298922549494972,758.9143758283874,0.25887861042424243,NA,NA
intercept,fin_phonL%,-6.716,-19.65087280296064,6.219193336745581,6.589,-1.019,769.52,0.30842269973056924,NA,NA
intercept,nuc_new_wordTRUE,-5.961,-14.062085618811393,2.1397673504053305,4.127,-1.445,767.91,0.14899541191028431,NA,NA
intercept,genderM,-47.861,-84.38941272497924,-11.332628996497164,16.147,-2.964,9,0.015857085931421953,NA,NA
