intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.8463537691031426,0.3070173350329827,1.3856902031733025,0.27474199966505525,3.080540180005072,766.16015783866,0.002140130599943055,NA,NA
foot_syls1,foot_syls3,2.294203258719554,1.8677662904994268,2.7206402269396817,0.21723017479244028,10.561162881315298,766.1703465473424,1.959783468317759e-24,NA,NA
foot_syls1,foot_syls4,2.006420080568139,1.328894302927449,2.6839458582088294,0.34513147323420373,5.813494961111811,758.9220400885547,9.009114036177018e-9,NA,NA
foot_syls2,foot_syls3,1.4478494896131877,0.8748953153121267,2.020803663914249,0.29186730945476885,4.9606428767849495,766.4627885615715,8.658691430122642e-7,NA,NA
foot_syls2,foot_syls4,1.1600663114321565,0.4619573789111643,1.858175243953149,0.35561765454282895,3.262116761113848,760.4307903453994,0.001155175925159149,NA,NA
foot_syls3,foot_syls4,-0.2877831781680338,-0.9906983492395873,0.41513199290351976,0.3580663145544069,-0.803714749113341,760.9046259035629,0.4218127388369537,NA,NA
pre_syls0,pre_syls1,0.8200702464643287,0.3911002870005132,1.2490402059281442,0.21852061702182723,3.7528278001448934,766.4310030745921,1.880581697605497e-4,NA,NA
pre_syls0,pre_syls2,0.7456626339587282,0.06755050335849277,1.4237747645589636,0.34542577659126666,2.158676869216542,752.9385891717935,0.03119057355119859,NA,NA
pre_syls0,pre_syls3,1.1470316781221608,0.44635385015570184,1.8477095060886197,0.35689867391599384,3.2138860745449196,725.2757332695795,0.0013674805343141772,NA,NA
pre_syls1,pre_syls2,-0.07440761258702001,-0.5992924599859196,0.4504772348118796,0.26735019827280987,-0.2783151576760489,715.338726633379,0.7808508691127497,NA,NA
pre_syls1,pre_syls3,0.3269614317007421,-0.22599368559113875,0.879916548992623,0.2816014818008173,1.1610785199348095,652.0704095965284,0.24603483203507148,NA,NA
pre_syls2,pre_syls3,0.4013690443816655,-0.005067981008728961,0.8078060697720599,0.20672979180770437,1.941515254632532,392.2481557788033,0.05291158390939088,NA,NA
intercept,fin_phonL%,-0.641,-1.3045079331667289,0.021997588040584937,0.338,-1.898,772.26,0.05807743781006611,NA,NA
intercept,nuc_new_wordTRUE,0.441,0.02879205493160536,0.8533854582849423,0.21,2.101,667.71,0.036046753695181566,NA,NA
intercept,genderM,0.097,-1.2321247507512727,1.4267380177116185,0.588,0.166,8.99,0.8721292568289953,NA,NA
