intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,21.22572524404394,11.787947253528044,30.663503234559833,4.80766401183413,4.414976835277284,765.1095959249532,1.1555552445013725e-5,NA,NA
foot_syls1,foot_syls3,95.9490209606589,88.47017170698099,103.4278702143368,3.8097732397783166,25.184969005200422,765.1045513385295,2.086077431862183e-102,NA,NA
foot_syls1,foot_syls4,218.55238513358455,206.652260367945,230.4525098992241,6.06201948424435,36.052735511922855,766.7378540735423,3.037694640376934e-167,NA,NA
foot_syls2,foot_syls3,74.72329571657706,64.69497622175744,84.75161521139667,5.108491052948001,14.627273482931097,765.246741430419,6.607848533185528e-43,NA,NA
foot_syls2,foot_syls4,197.32665988940386,185.069556946762,209.58376283204572,6.243865991802699,31.603282349183257,766.6560390010748,5.282247141402469e-141,NA,NA
foot_syls3,foot_syls4,122.60336417191674,110.259559281332,134.94716906250147,6.288033455928994,19.497886744911302,766.7177608076188,4.5144235826836833e-69,NA,NA
pre_syls0,pre_syls1,-33.47180648570848,-40.98944749402358,-25.954165477393374,3.8295351371049864,-8.740435924296586,765.2472606190911,1.4560606897918907e-17,NA,NA
pre_syls0,pre_syls2,-37.78511686780713,-49.70437351134276,-25.865860224271508,6.07176827232851,-6.223082827453925,766.9659803185434,8.016032910918941e-10,NA,NA
pre_syls0,pre_syls3,-44.6873649562039,-57.02798619198291,-32.34674372042489,6.286417756113477,-7.108557956197852,767.1870346143503,2.6861453956614635e-12,NA,NA
pre_syls1,pre_syls2,-4.313310381597378,-13.5561771157277,4.929556352532944,4.708392928119144,-0.9160897247631393,766.9548020420141,0.35990778514710675,NA,NA
pre_syls1,pre_syls3,-11.215558471355916,-20.98240415646901,-1.4487127862428224,4.975302356721722,-2.2542466099981837,766.0009434895042,0.024462447110746303,NA,NA
pre_syls2,pre_syls3,-6.902248099597534,-14.167804892729617,0.36330869353454887,3.7010118257562654,-1.8649624547436099,751.1571043976545,0.06257640092727845,NA,NA
intercept,fin_phonL%,-45.81,-57.42854233838712,-34.19072814434571,5.919,-7.74,768.38,3.139005503694116e-14,NA,NA
intercept,nuc_new_wordTRUE,-12.681,-19.967953767300436,-5.394323025665461,3.712,-3.416,766.46,6.68251813578115e-4,NA,NA
intercept,genderM,-64.322,-97.91173658401553,-30.731993590757476,14.85,-4.331,9.01,0.0018983382047071606,NA,NA
