intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.3559386734900019,-3.547508331138799,4.259385678118803,1.9876268122899152,0.17907721474129756,608.0318231947509,0.857936727890482,NA,NA
modeMDC,modeMYN,0.08794044711157546,-4.051493516222481,4.227374410445633,2.1077979959912123,0.04172147771220393,609.0651593585444,0.9667344051308601,NA,NA
modeMDC,modeMDQ,-15.669541731522155,-20.75346927266424,-10.585614190380069,2.5887271531557254,-6.052990834673549,608.2901614983845,2.4876700184440592e-9,NA,NA
modeMWH,modeMYN,-0.2679982243259153,-4.407238921311227,3.871242472659396,2.1077010424179554,-0.1271519152538197,609.2767756230521,0.8988621144473073,NA,NA
modeMWH,modeMDQ,-16.02548039480769,-21.126269899601468,-10.924690890013915,2.5973115954588573,-6.170026123483474,608.0974967309041,1.2467175389518412e-9,NA,NA
modeMYN,modeMDQ,-15.757451705953143,-20.18338408350977,-11.331519328396512,2.25368435917897,-6.991862743234226,609.267975726105,7.151222371390589e-12,NA,NA
acc_phonL*H,acc_phon^[L*]H,-3.4855462428941513,-19.52775682336193,12.556664337573626,8.168807763449138,-0.4266897133373646,613.6313234605931,0.6697549978380262,NA,NA
acc_phonL*H,acc_phonL*^[H],-7.08522803189876,-14.682058838754749,0.5116027749572298,3.868353235220092,-1.8315876552818586,613.065073268893,0.06749793422250881,NA,NA
acc_phonL*H,acc_phon^[L*H],-9.279565511451404,-14.283144004394948,-4.27598701850786,2.5478447384514986,-3.64212362370685,612.0475509215984,2.9330655940101223e-4,NA,NA
acc_phon^[L*]H,acc_phonL*^[H],-3.5996854297688334,-20.89027374051024,13.690902880972573,8.804428118172504,-0.4088494313831713,611.4361721870619,0.6827933215179975,NA,NA
acc_phon^[L*]H,acc_phon^[L*H],-5.79402817828669,-21.675490631684166,10.087434275110787,8.086932911387517,-0.7164679417740561,612.8351756340102,0.4739753921825002,NA,NA
acc_phonL*^[H],acc_phon^[L*H],-2.194337514585676,-9.98715118870156,5.598476159530209,3.968149081801513,-0.5529876699061572,613.0774428988938,0.5804734285692394,NA,NA
intercept,genderM,-52.091,-71.93137874371295,-32.25039474626841,8.774,-5.937,9.03,2.1649475545898375e-4,NA,NA
