intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,-1.8878020075567068,-3.6381225538835373,-0.13748146122987648,0.8034648056537842,-2.3495764771184855,12.017263641444318,0.03671302682276918,NA,NA
modeMWH,-4.003395088341898,-6.65434069917105,-1.352449477512745,1.185455631943844,-3.3770939885597855,9.740072115905615,0.0073004914972161754,NA,NA
modeMYN,1.0603770561059098,-0.11602240881398962,2.236776521025809,0.522408636734144,2.029784696391879,9.277744270882119,0.0720218828634072,NA,NA
modeMDQ,3.3264548312707234,1.2433649563350602,5.409544706206386,0.9736621454763281,3.416436437141529,14.38321012445605,0.004033332128199927,NA,NA
acc_phonL*H,-1.8878020075567068,-3.6381225538835373,-0.13748146122987648,0.8034648056537842,-2.3495764771184855,12.017263641444318,0.03671302682276918,NA,NA
acc_phon^[L*H],-0.08111584384555041,-1.933376428903483,1.7711447412123822,0.8777213289734115,-0.0924163981983029,16.94829458345296,0.9274508299922737,NA,NA
acc_phonL*^[H],1.3887665608884576,-0.510881535992121,3.288414657769036,0.9091809224861628,1.527491972764743,19.498808983774357,0.14269816983493666,NA,NA
acc_phon>H*,-6.119687406422158,-8.555228403624469,-3.6841464092198475,1.217907845579779,-5.024754072020048,60.773295665392055,4.72050724004624e-6,NA,NA
acc_phonH*,-4.459953420170755,-7.602601261388157,-1.3173055789533517,1.590728410662178,-2.8037177121355334,152.8767336944635,0.005707273158141604,NA,NA
acc_phon^[L*]H,-9.849183984472592,-12.288311251121767,-7.410056717823418,1.2198688550288421,-8.073969545062056,61.18762787248586,3.215135351852722e-11,NA,NA
