intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.73,0.6345372252585965,4.7111430207836165,0.88,1.07,0.2843555771918743,NA,NA
foot_syls1,foot_syls3,0.32,0.10872369607194653,0.9152879053058512,0.17,-2.12,0.033767931577142876,NA,NA
foot_syls1,foot_syls4,0.16,0.029362519565367,0.8631644775021453,0.14,-2.13,0.03312414570531908,NA,NA
foot_syls2,foot_syls3,0.2,0.07532113219053903,0.5220355593012213,0.1,-3.28,0.0010524675995141272,NA,NA
foot_syls2,foot_syls4,0.1,0.02083412336292534,0.5013635619723812,0.08,-2.81,0.0049412513344635365,NA,NA
foot_syls3,foot_syls4,0.46,0.11311455785339544,1.8530947168597192,0.33,-1.1,0.2734247128443577,NA,NA
wrd_end_syl1,wrd_end_syl2,0.05,0.01582526793261523,0.18544318561250803,0.03,-4.64,3.4218860323889024e-6,NA,NA
wrd_end_syl1,wrd_end_syl3,0.03,0.0023813672704614897,0.4588412697203513,0.04,-2.54,0.011071777378288928,NA,NA
wrd_end_syl2,wrd_end_syl3,0.23,0.009397348560919208,5.829880794929489,0.38,-0.89,0.3760268504629662,NA,NA
intercept,speech_rate,1.265,1.2607366965098967,1.2690045751858001,0.002,140.906,0,NA,NA
intercept,genderM,13.409,13.36528625798698,13.452951592540172,0.022,1556.474,0,NA,NA
