intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-0.78,-1.871430735986388,0.3101309456264051,0.49,-1.58,10.67,0.143,0.292,
ana_syls0,ana_syls2,-0.59,-2.031125954487116,0.8520320180525863,0.64,-0.92,9.32,0.381,0.538,
ana_syls0,ana_syls3,-1.25,-2.5308442623793166,0.02311651639293455,0.57,-2.19,9.89,0.054,0.167,
ana_syls1,ana_syls2,0.19,-1.0966143609549674,1.478824335233198,0.58,0.33,10.22,0.748,0.83,
ana_syls1,ana_syls3,-0.47,-1.1305956129014316,0.1841716691372783,0.3,-1.6,10.1,0.14,0.292,
ana_syls2,ana_syls3,-0.66,-1.7724803641541584,0.44384664227083914,0.5,-1.34,10.03,0.211,0.382,
acc_phonL*H,acc_phon>H*,-0.63,-1.2887213890240288,0.02269602705480689,0.33,-1.91,154.65,0.058,0.174,
acc_phonL*H,acc_phonH*,1.05,0.03197128988173681,2.077533730765347,0.51,2.06,66.11,0.043,0.159,
acc_phon>H*,acc_phonH*,1.69,0.5960264504904658,2.779503130090248,0.55,3.09,66.18,0.003,0.014,p<.05
intercept,genderM,0.357,-0.42978372388152014,1.1440139353565193,0.347,1.028,8.93,0.331,0.497,
