intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,2.25,1.2193754869086986,3.2871948464253373,0.48,4.66,14.62,3.318464871008723e-4,NA,NA
ana_syls1,2.19,0.03716275787166534,4.349214998511521,0.84,2.62,4.94,0.04740149163213098,NA,NA
ana_syls2,3.25,1.1027464931999793,5.389631329038915,0.86,3.78,5.57,0.010588073245571273,NA,NA
ana_syls3,2.74,0.596820356437668,4.883588916165193,0.86,3.19,5.57,0.0209283842683875,NA,NA
foot_syls1,2.25,1.2193754869086986,3.2871948464253373,0.48,4.66,14.62,3.318464871008723e-4,NA,NA
foot_syls2,2.85,1.848946833421509,3.8483788848306637,0.46,6.14,13.41,3.1139711401521826e-5,NA,NA
foot_syls3,3.09,2.09043945227331,4.090389035498408,0.46,6.78,11.34,2.6177682401794774e-5,NA,NA
foot_syls4,2.82,1.7988572465905306,3.8501205123433953,0.47,5.96,12.8,5.0755115017571216e-5,NA,NA
wrd_end_syl1,2.25,1.2193754869086986,3.2871948464253373,0.48,4.66,14.62,3.318464871008723e-4,NA,NA
wrd_end_syl2,2.38,1.331572878126808,3.435979162304018,0.49,4.82,15.44,2.0914983741903199e-4,NA,NA
wrd_end_syl3,2.42,1.4544536870722453,3.384030367728438,0.46,5.25,18.69,4.7660161300545967e-5,NA,NA
