intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-0.06,-2.4370026024369484,2.316810025456188,0.88,-0.07,4.28,0.9485337708344097,NA,NA
ana_syls0,ana_syls2,0.99,-1.3541582757101907,3.3399657646031686,0.89,1.12,4.56,0.3183613595947512,NA,NA
ana_syls0,ana_syls3,0.49,-1.8607997096752384,2.83463864887601,0.89,0.55,4.59,0.6093716094275834,NA,NA
ana_syls1,ana_syls2,1.05,0.6806826731932676,1.4253173926844578,0.19,5.56,455.99,4.650574614727426e-8,NA,NA
ana_syls1,ana_syls3,0.55,0.17341298352178036,0.9206185326693712,0.19,2.88,461.4,0.004197503415786776,NA,NA
ana_syls2,ana_syls3,-0.51,-0.8625204275861571,-0.14944812210332242,0.18,-2.79,460.1,0.005508871270695347,NA,NA
foot_syls1,foot_syls2,0.6,0.07839524780617968,1.1123601373512386,0.26,2.27,317.18,0.024136219895914853,NA,NA
foot_syls1,foot_syls3,0.84,0.33784266418013964,1.3364154904834828,0.25,3.3,369.71,0.0010720357763941292,NA,NA
foot_syls1,foot_syls4,0.57,-0.0385086816909217,1.1809161074064312,0.31,1.84,278.75,0.06621768274176089,NA,NA
foot_syls2,foot_syls3,0.24,-0.20468323415916137,0.6881860038109434,0.23,1.06,359.12,0.28761837089780706,NA,NA
foot_syls2,foot_syls4,-0.02,-0.589448096203319,0.5411001369731737,0.29,-0.08,251.52,0.9329459434595175,NA,NA
foot_syls3,foot_syls4,-0.27,-0.6331681917717538,0.10131746295804694,0.19,-1.42,421.28,0.15538215804901143,NA,NA
wrd_end_syl1,wrd_end_syl2,0.13,-0.2486078128456971,0.5095895199288406,0.19,0.68,349.87,0.49886105124034086,NA,NA
wrd_end_syl1,wrd_end_syl3,0.17,-0.6705374750665248,1.002451196401156,0.42,0.39,86.55,0.694283933556051,NA,NA
wrd_end_syl2,wrd_end_syl3,0.04,-0.7066731716702541,0.7776051859137947,0.37,0.1,57.62,0.9241119308279326,NA,NA
intercept,pn_new_wordTRUE,-0.807,-3.1410242065192935,1.5264407808910536,0.854,-0.945,4.17,0.39595144723486236,NA,NA
intercept,genderM,0.513,-0.07474175369288416,1.1002756392567488,0.26,1.969,9.15,0.07988862946365348,NA,NA
