intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,184.03,151.50693288920368,216.5439810189395,15.51,11.86,18.55,4.2159813246593047e-10,NA,NA
acc_phon>H*,151.79,118.13644491727325,185.44206206080213,16.27,9.33,23.17,2.610857239887135e-9,NA,NA
acc_phonH*,104.19,71.368946846983,137.01822183367415,15.73,6.62,19.86,1.9547270241291694e-6,NA,NA
ana_syls0,184.03,151.50691710138,216.54396710200757,15.51,11.86,18.55,4.215986352153815e-10,NA,NA
ana_syls1,146.68,90.8085840454523,202.5507401324369,23.92,6.13,7.46,3.707311382981824e-4,NA,NA
ana_syls2,184.81,128.28337922829098,241.34452378842684,24.92,7.42,8.85,4.4273926597294926e-5,NA,NA
ana_syls3,196.31,139.78329713060387,252.84066589585828,24.93,7.88,8.86,2.7508584622282363e-5,NA,NA
foot_syls1,184.03,151.50688315044331,216.5440380026386,15.51,11.86,18.55,4.2163345918677535e-10,NA,NA
foot_syls2,223.65,189.32108522389905,257.98451517148067,16.38,13.65,18.63,3.774891629210977e-11,NA,NA
foot_syls3,250.64,206.7468304373484,294.5348230446764,20.29,12.36,12.8,1.7454796762708376e-8,NA,NA
foot_syls4,251.82,211.8164196815733,291.81369321431896,18.86,13.35,15.9,4.671499533207305e-10,NA,NA
wrd_end_syl1,184.03,151.5070062742203,216.543969859856,15.51,11.86,18.55,4.215689838368137e-10,NA,NA
wrd_end_syl2,190.34,157.36594349184966,223.31455589567233,15.8,12.05,19.77,1.4659087284259496e-10,NA,NA
wrd_end_syl3,200.4,170.38242300377465,230.42529347075202,14.69,13.65,29.31,3.124813572637656e-14,NA,NA
