intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-32.24,-43.9918593743419,-20.480529604191904,5.99,-5.39,614.9,1.0313964169338959e-7,NA,NA
acc_phonL*H,acc_phonH*,-79.83,-88.98364735707258,-70.68002886075493,4.65,-17.17,287.65,5.669001015770367e-46,NA,NA
acc_phon>H*,acc_phonH*,-47.6,-59.974252112803086,-35.217017775654654,6.3,-7.56,399.87,2.8046307103566654e-13,NA,NA
ana_syls0,ana_syls1,-37.35,-98.59405347963835,23.902432198846206,24.93,-1.5,5.9,0.18557117861143388,NA,NA
ana_syls0,ana_syls2,0.79,-59.99080708965,61.56784469271005,25.42,0.03,6.64,0.9761693746574707,NA,NA
ana_syls0,ana_syls3,12.29,-48.594796303135205,73.16785126311838,25.5,0.48,6.68,0.6452963555250519,NA,NA
ana_syls1,ana_syls2,38.13,24.812798807376915,51.45586377985729,6.78,5.62,645.44,2.824540217749557e-8,NA,NA
ana_syls1,ana_syls3,49.63,36.25105694984585,63.013623190887316,6.81,7.28,657.99,9.354873112631285e-13,NA,NA
ana_syls2,ana_syls3,11.5,-1.9412159882942461,24.937234130455646,6.84,1.68,672,0.09344458035937242,NA,NA
foot_syls1,foot_syls2,39.63,21.70235066714863,57.55631063932129,8.77,4.52,29.09,9.533184942319596e-5,NA,NA
foot_syls1,foot_syls3,66.61,40.041008584789864,93.1816910768047,12.58,5.3,16.73,6.25356512181265e-5,NA,NA
foot_syls1,foot_syls4,67.79,42.85216001715503,92.72104207681457,12.31,5.51,37.31,2.8525718750926376e-6,NA,NA
foot_syls2,foot_syls3,26.98,0.8914629695318226,53.07244488348364,12.36,2.18,16.94,0.04344425920766765,NA,NA
foot_syls2,foot_syls4,28.16,7.071289166506933,49.24317834284231,10.59,2.66,75.54,0.009541443545212148,NA,NA
foot_syls3,foot_syls4,1.18,-17.67168051475207,20.023101766385587,9.21,0.13,28.31,0.8992756166558188,NA,NA
wrd_end_syl1,wrd_end_syl2,6.31,-6.679261017969775,19.308762188145092,6.61,0.96,393.29,0.3399463892504452,NA,NA
wrd_end_syl1,wrd_end_syl3,16.38,-13.260910985233366,46.017706048106604,14.79,1.11,54.63,0.27289430544967913,NA,NA
wrd_end_syl2,wrd_end_syl3,10.06,-16.148617662660797,36.27590109757243,12.93,0.78,36.15,0.4413225889725332,NA,NA
intercept,pn_new_wordTRUE,-21.528,-80.52528813783704,37.46985969417261,23.87,-0.902,5.76,0.4032410699852309,NA,NA
intercept,genderM,-19.958,-43.31413531484526,3.3981039252082788,10.519,-1.897,10.26,0.0862442641163794,NA,NA
