intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,-0.72,-1.756509403398426,0.32509691379777006,0.43,-1.66,6.32,0.14501518948521086,NA,NA
ana_syls1,0.16,-0.9070700601805456,1.2176997505314477,0.47,0.33,8.79,0.7477297952666404,NA,NA
ana_syls2,-0.52,-1.6648704520998177,0.6234202708080677,0.54,-0.97,15.17,0.3476745606178149,NA,NA
ana_syls3,-0.65,-1.7917816410698166,0.49672222302129476,0.54,-1.2,15.21,0.2467173629009214,NA,NA
foot_syls1,-0.72,-1.756509403398426,0.32509691379777006,0.43,-1.66,6.32,0.14501518948521086,NA,NA
foot_syls2,-0.97,-2.1153624390120584,0.17343853517985408,0.39,-2.5,3.5,0.07608567313976308,NA,NA
foot_syls3,-0.88,-1.475919978936847,-0.28500420634409795,0.28,-3.16,14.64,0.006657904506076258,NA,NA
foot_syls4,-0.78,-1.402940322090551,-0.1545079654958419,0.3,-2.56,27.33,0.01636815824808538,NA,NA
wrd_end_syl1,-0.72,-1.756509403398426,0.32509691379777006,0.43,-1.66,6.32,0.14501518948521086,NA,NA
wrd_end_syl2,-0.92,-1.9825209931771837,0.14392753234261857,0.47,-1.97,8.72,0.08195204536475477,NA,NA
wrd_end_syl3,-1.08,-2.1840447756584984,0.023527662138674188,0.51,-2.13,11.92,0.05432027857962246,NA,NA
