intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,0.87,0.517650866275071,1.225837082698504,0.18,4.84,457.08,1.795479359909323e-6,NA,NA
ana_syls0,ana_syls2,0.19,-0.3684070917939847,0.75022526437271,0.28,0.67,457.77,0.5027117935278304,NA,NA
ana_syls0,ana_syls3,0.06,-0.4974079283763464,0.6257126066629142,0.29,0.22,457.76,0.8224693808838388,NA,NA
ana_syls1,ana_syls2,-0.68,-1.1141086567427545,-0.24755586858868828,0.22,-3.09,457.06,0.002137878904778181,NA,NA
ana_syls1,ana_syls3,-0.81,-1.2437853563364516,-0.3713931106932182,0.22,-3.64,456.91,3.056466172605087e-4,NA,NA
ana_syls2,ana_syls3,-0.13,-0.57244301252389,0.3189292471656121,0.23,-0.56,452.44,0.5764891573615147,NA,NA
foot_syls1,foot_syls2,-0.26,-0.7534386340390107,0.22847166041555284,0.24,-1.1,26.15,0.28192909631135776,NA,NA
foot_syls1,foot_syls3,-0.13,-0.9353616655916305,0.6813901418263958,0.36,-0.35,10.23,0.7342144091494074,NA,NA
foot_syls1,foot_syls4,-0.03,-0.8271831577372496,0.7612753227797894,0.38,-0.09,16.85,0.931226855319115,NA,NA
foot_syls2,foot_syls3,0.14,-0.7628000087890793,1.0337821248101968,0.34,0.4,4.53,0.7072075684535958,NA,NA
foot_syls2,foot_syls4,0.23,-0.5611152978827455,1.0201604483441407,0.38,0.61,18.84,0.550480058494478,NA,NA
foot_syls3,foot_syls4,0.09,-0.5921557564397838,0.7802216386740318,0.33,0.29,17.66,0.7764758968602963,NA,NA
wrd_end_syl1,wrd_end_syl2,-0.19,-0.5486116009250922,0.16830630168924085,0.18,-1.04,462.5,0.29775457423773677,NA,NA
wrd_end_syl1,wrd_end_syl3,-0.35,-0.9165634250363488,0.22232468090032548,0.29,-1.2,463.69,0.23157822215800694,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.16,-0.6005638771154468,0.2866351513020249,0.23,-0.7,460.48,0.487189126272047,NA,NA
intercept,pn_new_wordTRUE,-0.726,-1.2122211489024712,-0.23920184072443929,0.248,-2.931,461.05,0.0035430949883370317,NA,NA
intercept,genderM,0.992,0.340687001066584,1.6424872487668498,0.27,3.673,6.39,0.009312988460504611,NA,NA
