intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,46.2,6.596746384716042,85.81250074027862,18.14,2.55,11.75,0.025930687200491468,NA,NA
ana_syls1,13.69,-82.5426457652291,109.9222772666421,38.51,0.36,5.52,0.7353896145595691,NA,NA
ana_syls2,15.11,-81.05889401413236,111.269364998366,38.89,0.39,5.75,0.7116819473645926,NA,NA
ana_syls3,25.6,-70.56582972264513,121.76198505396582,38.89,0.66,5.75,0.535843517460632,NA,NA
foot_syls1,46.2,6.596746384716042,85.81250074027862,18.14,2.55,11.75,0.025930687200491468,NA,NA
foot_syls2,47.72,8.72529467284889,86.72177527448048,17.69,2.7,10.87,0.02095002753118816,NA,NA
foot_syls3,52.71,13.589443268208576,91.82100408357263,17.67,2.98,10.49,0.01306205047002572,NA,NA
foot_syls4,64.49,24.877542903898743,104.10618434192277,18.07,3.57,11.35,0.0041923269804813885,NA,NA
wrd_end_syl1,46.2,6.596746384716042,85.81250074027862,18.14,2.55,11.75,0.025930687200491468,NA,NA
wrd_end_syl2,69.76,29.66337646949774,109.85753307165174,18.47,3.78,12.39,0.0024969901052105444,NA,NA
wrd_end_syl3,60.74,22.58790737885441,98.8863611029387,17.27,3.52,10.66,0.005045598352350725,NA,NA
