intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-30.09,-122.98763710758662,62.80478933253589,36.59,-0.82,5.22,0.44679349078456776,NA,NA
ana_syls0,ana_syls2,-28.79,-121.52375463820948,63.94231740386325,36.65,-0.79,5.28,0.465887266538145,NA,NA
ana_syls0,ana_syls3,-18.37,-111.11220721991081,74.36335950840534,36.68,-0.5,5.3,0.6365726352992915,NA,NA
ana_syls1,ana_syls2,1.3,-8.008882388987196,10.610969258069105,4.74,0.27,446.96,0.783716091411196,NA,NA
ana_syls1,ana_syls3,11.72,2.390277027324691,21.044342894908382,4.75,2.47,447.66,0.013924248612075092,NA,NA
ana_syls2,ana_syls3,10.42,1.6651922746222514,19.167349128972525,4.45,2.34,435.87,0.019764941668449464,NA,NA
foot_syls1,foot_syls2,-5.46,-17.864586082512844,6.948886856798653,6.3,-0.87,228.99,0.38696488177016675,NA,NA
foot_syls1,foot_syls3,-8.49,-29.929714051008162,12.941554881408033,10.1,-0.84,15.74,0.4128494969887392,NA,NA
foot_syls1,foot_syls4,3.99,-13.057688257517922,21.030586716441363,8.51,0.47,56.5,0.6412679938849859,NA,NA
foot_syls2,foot_syls3,-3.04,-23.753974385849027,17.66485090186847,9.78,-0.31,16.15,0.7594694529220377,NA,NA
foot_syls2,foot_syls4,9.43,-7.501557669213025,26.364299774296963,8.4,1.12,44.35,0.2677837639002483,NA,NA
foot_syls3,foot_syls4,12.48,-1.9817901524737582,26.942841080081394,6.96,1.79,21.33,0.0871742186833324,NA,NA
wrd_end_syl1,wrd_end_syl2,28.71,18.42539219246995,38.98506208142316,5.23,5.49,440.25,6.87254250158021e-8,NA,NA
wrd_end_syl1,wrd_end_syl3,17.47,-5.101549049956546,40.04595877474542,11.47,1.52,280.63,0.1287364126218096,NA,NA
wrd_end_syl2,wrd_end_syl3,-11.23,-31.207244032497062,8.742364850419552,10.13,-1.11,208.96,0.2688909176429222,NA,NA
intercept,pn_new_wordTRUE,18.481,-74.14008775933179,111.10161935946466,36.002,0.513,4.99,0.6296494445241283,NA,NA
intercept,genderM,-70.584,-84.09471906089878,-57.073542450296586,5.995,-11.773,9.23,7.230071206036172e-7,NA,NA
