intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,2.67,2.2444539271720565,3.0944596955754227,0.19,13.78,11.28,2.0893911155001163e-8,NA,NA
ana_syls1,2.73,1.7917200829750106,3.6623844698640013,0.32,8.47,3.59,0.0016926555552420068,NA,NA
ana_syls2,2.9,1.9889242999987902,3.817418566092032,0.33,8.78,4.05,8.820145407903714e-4,NA,NA
ana_syls3,2.77,1.854137636143986,3.678544527424834,0.33,8.38,4.05,0.0010480431116920293,NA,NA
foot_syls1,2.67,2.2444539271720565,3.0944596955754227,0.19,13.78,11.28,2.0893911155001163e-8,NA,NA
foot_syls2,2.53,2.1008336175386035,2.9506817057752968,0.19,13.12,10.73,6.015929529892216e-8,NA,NA
foot_syls3,2.58,2.1738088642321394,2.98713708131846,0.18,14.7,7.79,5.830955656529575e-7,NA,NA
foot_syls4,2.55,2.1301082707231886,2.970234439133363,0.19,13.65,9.37,1.7029270332234343e-7,NA,NA
wrd_end_syl1,2.67,2.2444539271720565,3.0944596955754227,0.19,13.78,11.28,2.0893911155001163e-8,NA,NA
wrd_end_syl2,2.81,2.37804355778037,3.23879488524156,0.2,14.23,11.94,7.572235883809434e-9,NA,NA
wrd_end_syl3,2.77,2.377775959274852,3.1686061450637357,0.19,14.99,14.54,3.032901388978984e-10,NA,NA
