intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,0.06,-1.025624303084868,1.1408266377331953,0.33,0.17,2.88,0.8739546559969656,NA,NA
ana_syls0,ana_syls2,0.23,-0.8196051923283528,1.2869749667309067,0.34,0.7,3.08,0.5355996949838047,NA,NA
ana_syls0,ana_syls3,0.1,-0.9555253652899296,1.1492944292489962,0.34,0.29,3.1,0.7917653882076344,NA,NA
ana_syls1,ana_syls2,0.18,0.03352619173503715,0.3186410697022857,0.07,2.43,439.36,0.015600389553058557,NA,NA
ana_syls1,ana_syls3,0.04,-0.10379325767272146,0.18235957945249914,0.07,0.54,445.9,0.5897466056082952,NA,NA
ana_syls2,ana_syls3,-0.14,-0.2730138477433276,-5.867385175848672e-4,0.07,-1.97,439.49,0.04902554448645755,NA,NA
foot_syls1,foot_syls2,-0.14,-0.3774271230628622,0.09003849972751513,0.11,-1.27,24.98,0.21711593214566538,NA,NA
foot_syls1,foot_syls3,-0.09,-0.3480299526878804,0.1701976178916905,0.13,-0.71,24.34,0.4858481040150122,NA,NA
foot_syls1,foot_syls4,-0.12,-0.37579528238340976,0.13721233728574445,0.13,-0.93,53.23,0.35518036472651693,NA,NA
foot_syls2,foot_syls3,0.05,-0.2488087200073524,0.3582180213004029,0.14,0.39,12.42,0.7022425465333438,NA,NA
foot_syls2,foot_syls4,0.02,-0.2673138809744463,0.3159201543449276,0.14,0.17,18.2,0.8630486293776143,NA,NA
foot_syls3,foot_syls4,-0.03,-0.25606155900184424,0.19533722775322643,0.11,-0.28,21.28,0.7825349169142654,NA,NA
wrd_end_syl1,wrd_end_syl2,0.14,-0.007850516826102438,0.2858933262562595,0.07,1.86,302.68,0.0634803292646936,NA,NA
wrd_end_syl1,wrd_end_syl3,0.1,-0.22564335593214635,0.43311880353836196,0.16,0.63,55.86,0.5306460880460402,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.04,-0.3280574055263829,0.2575067426701702,0.14,-0.24,37.4,0.8085380604337397,NA,NA
intercept,pn_new_wordTRUE,-0.026,-1.0904283354872617,1.0391849055893063,0.324,-0.079,2.84,0.9422022007693396,NA,NA
intercept,genderM,0.373,0.1644609576434464,0.582142864105873,0.093,4.023,9.31,0.002805123916450295,NA,NA
