intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-62.53,-73.94393297240244,-51.10692366369856,5.79,-10.8,184.15,2.2e-21,2.6e-19,p<.001
ana_syls0,ana_syls2,-27.11,-38.11505000766405,-16.10855384435976,5.58,-4.86,182.84,2.5e-06,3.7e-05,p<.001
ana_syls0,ana_syls3,-20.95,-32.09230015837892,-9.810973882710693,5.65,-3.71,182.89,2.7e-04,0.002,p<.01
ana_syls1,ana_syls2,35.41,25.019298668688,45.80808710776641,5.27,6.72,183.42,2.2e-10,6.5e-09,p<.001
ana_syls1,ana_syls3,41.57,31.027515898010964,52.12018484713147,5.35,7.78,182.71,5.2e-13,3.1e-11,p<.001
ana_syls2,ana_syls3,6.16,-3.5313799928463796,15.85170510018686,4.91,1.25,178.08,0.211,0.377,
acc_phonL*H,acc_phon>H*,-38.7,-83.07520810379737,5.685073669174663,13.73,-2.82,2.92,0.069,0.181,
acc_phonL*H,acc_phonH*,-80.54,-105.62032422049283,-55.463896520723125,12.15,-6.63,23.95,7.5e-07,1.5e-05,p<.001
acc_phon>H*,acc_phonH*,-41.85,-93.76289323676689,10.06319224322381,16.79,-2.49,3.16,0.084,0.199,
intercept,genderM,-78.733,-118.00731927479748,-39.45918321717776,17.238,-4.567,8.6,0.002,0.011,p<.05
