intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,50.33,22.932346348537823,77.72843699397318,11.98,4.2,8.42,0.003,0.014,p<.05
foot_syls1,foot_syls3,77.73,32.233564038774055,123.22317317806048,20.47,3.8,10.2,0.003,0.014,p<.05
foot_syls1,foot_syls4,79.89,55.802316262421385,103.97814004038486,11.02,7.25,11.67,1.2e-05,1.4e-04,p<.001
foot_syls2,foot_syls3,27.4,-3.7169617776310777,58.5132057886907,13.69,2,8.73,0.077,0.198,
foot_syls2,foot_syls4,29.56,1.9433279570185784,57.17675440152098,12.27,2.41,9.3,0.038,0.149,
foot_syls3,foot_syls4,2.16,-34.741129076965734,39.065061573005266,16.66,0.13,10.47,0.899,0.947,
acc_phonL*H,acc_phon>H*,-47.9,-73.92972070276969,-21.87167731483245,13.17,-3.64,142.61,3.8e-04,0.003,p<.01
acc_phonL*H,acc_phonH*,-72.63,-92.95607889512934,-52.29853673322907,10.2,-7.12,71.39,6.8e-10,1.6e-08,p<.001
acc_phon>H*,acc_phonH*,-24.73,-52.70010736757468,3.2467572342679603,14.15,-1.75,146.45,0.083,0.199,
intercept,genderM,-94.604,-124.98358124785776,-64.22417727441876,13.919,-6.797,11.81,2.1e-05,2.3e-04,p<.001
