intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,11.41,0.9013863839974707,21.923887864984636,5.35,2.13,766.11,0.03337331437007096,NA,NA
foot_syls1,foot_syls3,117.13,108.7907516401727,125.46306574629948,4.25,27.58,766.11,7.595310669533961e-117,NA,NA
foot_syls1,foot_syls4,248.91,235.66458198739892,262.15282923687295,6.75,36.89,767.54,3.489415638005022e-172,NA,NA
foot_syls2,foot_syls3,105.71,94.50025544990753,116.92828768758442,5.71,18.51,766.25,1.7438609568132048e-63,NA,NA
foot_syls2,foot_syls4,237.5,223.85717768125173,251.13495929428248,6.95,34.18,767.46,2.35395667756359e-156,NA,NA
foot_syls3,foot_syls4,131.78,118.00770240723828,145.55589143034877,7.02,18.78,767.51,4.840082539070091e-65,NA,NA
pre_syls0,pre_syls1,-31.24,-39.63004123145737,-22.85430744212245,4.27,-7.31,766.24,6.645726226750541e-13,NA,NA
pre_syls0,pre_syls2,-31.4,-44.68123239563987,-18.1178147843616,6.77,-4.64,767.78,4.078471401869771e-6,NA,NA
pre_syls0,pre_syls3,-36.05,-49.80083681186338,-22.29561724868945,7.01,-5.15,768.18,3.3899952390711153e-7,NA,NA
pre_syls1,pre_syls2,-0.16,-10.447446085147888,10.132747587159333,5.24,-0.03,768.01,0.9760606889096681,NA,NA
pre_syls1,pre_syls3,-4.81,-15.679313026291494,6.067207633729533,5.54,-0.87,767.74,0.38583798528096036,NA,NA
pre_syls2,pre_syls3,-4.65,-12.725442932525526,3.428036047554185,4.11,-1.13,758.91,0.25887861042424243,NA,NA
intercept,fin_phonL%,-6.716,-19.65087280296064,6.219193336745581,6.589,-1.019,769.52,0.30842269973056924,NA,NA
intercept,nuc_new_wordTRUE,-5.961,-14.062085618811393,2.1397673504053305,4.127,-1.445,767.91,0.14899541191028431,NA,NA
intercept,genderM,-47.861,-84.38941272497924,-11.332628996497164,16.147,-2.964,9,0.015857085931421953,NA,NA
