intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.42,0.01171674745569995,0.8183455184629328,0.21,2.02,746.13,0.04372157027182715,NA,NA
foot_syls1,foot_syls3,1.91,1.5899567456424213,2.2263511772563596,0.16,11.77,746.11,1.823169754873992e-29,NA,NA
foot_syls1,foot_syls4,1.16,0.6404690632751804,1.6772319803439795,0.26,4.39,746.69,1.3049220610502222e-5,NA,NA
foot_syls2,foot_syls3,1.49,1.0657734258313307,1.9204722311435205,0.22,6.86,746.31,1.4555439719262697e-11,NA,NA
foot_syls2,foot_syls4,0.74,0.2113939532601785,1.2762448244389584,0.27,2.74,746.93,0.006241642739959054,NA,NA
foot_syls3,foot_syls4,-0.75,-1.2851343261832762,-0.21347255309216095,0.27,-2.75,747.16,0.006191729851592472,NA,NA
pre_syls0,pre_syls1,0.6,0.27717738923461116,0.9184753177950113,0.16,3.66,746.3,2.698373578193644e-4,NA,NA
pre_syls0,pre_syls2,0.78,0.2680925070292651,1.291560893916591,0.26,2.99,746.11,0.002866424605729243,NA,NA
pre_syls0,pre_syls3,1.22,0.6824450571673892,1.7587508422961513,0.27,4.45,735.58,9.79297572272612e-6,NA,NA
pre_syls1,pre_syls2,0.18,-0.21650108072843838,0.5805017746771348,0.2,0.9,737.46,0.3702194267740232,NA,NA
pre_syls1,pre_syls3,0.62,0.19252197907601643,1.0530212133224592,0.22,2.84,709.97,0.004614273895700864,NA,NA
pre_syls2,pre_syls3,0.44,0.12073658204809123,0.7608059164586375,0.16,2.7,599.85,0.0070278122582635785,NA,NA
intercept,fin_phonL%,-0.671,-1.1744733665368337,-0.1676913607260021,0.256,-2.617,749.64,0.009046788718751208,NA,NA
intercept,nuc_new_wordTRUE,0.205,-0.11724804450642029,0.5273805006126078,0.164,1.249,719.99,0.2120384759466598,NA,NA
intercept,genderM,0.437,-0.9002356868717627,1.774286075556556,0.591,0.739,9,0.4785552928024527,NA,NA
