intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.85,0.3070173350377545,1.3856902031723952,0.27,3.08,766.16,0.0021401305997726665,NA,NA
foot_syls1,foot_syls3,2.29,1.8677662904999672,2.7206402269360237,0.22,10.56,766.17,1.9597834680391748e-24,NA,NA
foot_syls1,foot_syls4,2.01,1.3288943029113036,2.68394585818684,0.35,5.81,758.92,9.009114022452613e-9,NA,NA
foot_syls2,foot_syls3,1.45,0.8748953153114435,2.020803663917061,0.29,4.96,766.46,8.658691429574265e-7,NA,NA
foot_syls2,foot_syls4,1.16,0.4619573789339827,1.8581752439935908,0.36,3.26,760.43,0.0011551759253575012,NA,NA
foot_syls3,foot_syls4,-0.29,-0.9906983492798876,0.41513199288353786,0.36,-0.8,760.9,0.4218127387934215,NA,NA
pre_syls0,pre_syls1,0.82,0.39110028700093946,1.2490402059241792,0.22,3.75,766.43,1.8805816975179837e-4,NA,NA
pre_syls0,pre_syls2,0.75,0.06755050327062928,1.4237747644684018,0.35,2.16,752.94,0.0311905735707701,NA,NA
pre_syls0,pre_syls3,1.15,0.4463538502045381,1.8477095061285511,0.36,3.21,725.28,0.001367480533274335,NA,NA
pre_syls1,pre_syls2,-0.07,-0.5992924600271656,0.45047723476771906,0.27,-0.28,715.34,0.7808508689907416,NA,NA
pre_syls1,pre_syls3,0.33,-0.22599368556570454,0.8799165490133736,0.28,1.16,652.07,0.24603483200279644,NA,NA
pre_syls2,pre_syls3,0.4,-0.0050679811414425235,0.8078060696110998,0.21,1.94,392.25,0.0529115839874926,NA,NA
intercept,fin_phonL%,-0.641,-1.3045079331501452,0.021997588051952843,0.338,-1.898,772.26,0.05807743781453983,NA,NA
intercept,nuc_new_wordTRUE,0.441,0.0287920548816909,0.8533854582774052,0.21,2.101,667.71,0.03604675371719729,NA,NA
intercept,genderM,0.097,-1.2321247509181172,1.426738017883264,0.588,0.166,8.99,0.8721292568290365,NA,NA
