intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,21.23,11.78794725318896,30.66350323480384,4.81,4.41,765.11,1.1555552452585784e-5,NA,NA
foot_syls1,foot_syls3,95.95,88.47017170679459,103.42787021461851,3.81,25.18,765.1,2.0860774797965147e-102,NA,NA
foot_syls1,foot_syls4,218.55,206.65226036649454,230.45250989827542,6.06,36.05,766.74,3.037695554420098e-167,NA,NA
foot_syls2,foot_syls3,74.72,64.69497622156308,84.75161521184526,5.11,14.63,765.25,6.607848538087041e-43,NA,NA
foot_syls2,foot_syls4,197.33,185.06955694572648,209.5837628316701,6.24,31.6,766.66,5.282247902914676e-141,NA,NA
foot_syls3,foot_syls4,122.6,110.25955928321001,134.9471690638399,6.29,19.5,766.72,4.5144231550770745e-69,NA,NA
pre_syls0,pre_syls1,-33.47,-40.98944749424132,-25.954165477143746,3.83,-8.74,765.25,1.4560606933205407e-17,NA,NA
pre_syls0,pre_syls2,-37.79,-49.70437350822049,-25.865860220722915,6.07,-6.22,766.97,8.016032949624324e-10,NA,NA
pre_syls0,pre_syls3,-44.69,-57.02798619776779,-32.346743726078046,6.29,-7.11,767.19,2.6861453786807877e-12,NA,NA
pre_syls1,pre_syls2,-4.31,-13.556177114956364,4.9295563536414395,4.71,-0.92,766.95,0.3599077852610645,NA,NA
pre_syls1,pre_syls3,-11.22,-20.98240415814806,-1.4487127877363264,4.98,-2.25,766,0.024462447091705274,NA,NA
pre_syls2,pre_syls3,-6.9,-14.167804887190034,0.3633086998344863,3.7,-1.86,751.16,0.06257640116545583,NA,NA
intercept,fin_phonL%,-45.81,-57.42854234028309,-34.19072814525654,5.919,-7.74,768.38,3.1390055059064763e-14,NA,NA
intercept,nuc_new_wordTRUE,-12.681,-19.967953769114768,-5.3943230276181735,3.712,-3.416,766.46,6.682518122853017e-4,NA,NA
intercept,genderM,-64.322,-97.91173649703843,-30.731993678207644,14.85,-4.331,9.01,0.0018983381426544868,NA,NA
