intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.02,-0.10823814851236377,0.06726293541674377,0.04,-0.46,762.07,0.6468448890461094,NA,NA
foot_syls1,foot_syls3,-0.13,-0.20027485761938751,-0.061150895570124764,0.04,-3.69,762.09,2.4133307931374515e-4,NA,NA
foot_syls1,foot_syls4,-0.68,-0.7867856481159382,-0.565792904181026,0.06,-12.02,750.99,1.526964248150764e-30,NA,NA
foot_syls2,foot_syls3,-0.11,-0.20348759147106554,-0.016962948576452946,0.05,-2.32,762.23,0.020596798473970453,NA,NA
foot_syls2,foot_syls4,-0.66,-0.7696479179375464,-0.5419554215451317,0.06,-11.31,752.96,1.7039891785070082e-27,NA,NA
foot_syls3,foot_syls4,-0.55,-0.6602410983875538,-0.43091170294702136,0.06,-9.34,753.55,1.056893873152971e-19,NA,NA
pre_syls0,pre_syls1,0.27,0.20212713101874907,0.3420723127456656,0.04,7.63,762.22,6.826875232496364e-14,NA,NA
pre_syls0,pre_syls2,0.37,0.26259195677210556,0.48384793553225125,0.06,6.62,743.73,6.747248407649088e-11,NA,NA
pre_syls0,pre_syls3,0.45,0.337783367581473,0.5666177348013205,0.06,7.76,708.04,2.983925646425173e-14,NA,NA
pre_syls1,pre_syls2,0.1,0.015487095283136201,0.18675335409730043,0.04,2.32,697.09,0.020712922368503518,NA,NA
pre_syls1,pre_syls3,0.18,0.08978048385140554,0.27042116858450516,0.05,3.92,620.43,1.0007468804485414e-4,NA,NA
pre_syls2,pre_syls3,0.08,0.012497613444265171,0.14546359112218124,0.03,2.34,350.02,0.02002989627358093,NA,NA
intercept,fin_phonL%,0.124,0.016378801660981865,0.23247115231166582,0.055,2.261,765.42,0.024060950687857276,NA,NA
intercept,nuc_new_wordTRUE,0.097,0.029835894404330168,0.1649543731831436,0.034,2.831,638.65,0.004787792391712986,NA,NA
intercept,genderM,0.102,-0.21504695500375215,0.41910218852241854,0.14,0.728,9.01,0.4852291441651896,NA,NA
