speaker,mean_Hz,SD_Hz,meanF0,sdF0,medF0,minF0,maxF0,q1F0,q3F0,range,sdMedF0,skew
F5,189.5,23.4,189.474,23.438,187.076,139.903,276.122,173.220,202.752,136.219,21.801,0.61
F6,201.4,23.9,201.422,23.936,199.237,151.867,284.147,181.624,217.762,132.280,26.675,0.48
F12,164.3,21.0,164.339,20.975,162.664,97.768,261.801,149.525,176.555,164.033,19.930,0.67
F15,159.7,19.3,159.690,19.326,158.661,112.235,245.197,147.125,170.340,132.962,17.201,0.45
F16,196.9,19.1,196.916,19.075,195.451,151.949,282.640,183.887,208.368,130.691,18.143,0.54
F17,177.5,19.6,177.533,19.559,173.278,141.193,286.510,164.423,185.741,145.316,15.189,1.34
M4,86.4,13.1,86.354,13.144,83.540,49.488,138.995,76.520,94.771,89.508,12.565,0.78
M5,117.1,21.1,117.113,21.136,114.405,80.345,194.023,100.239,131.976,113.678,23.071,0.54
M8,124.7,18.8,124.741,18.835,123.877,88.548,193.435,109.452,137.422,104.887,20.904,0.41
M9,139.7,20.6,139.689,20.628,134.790,98.313,235.029,124.353,151.303,136.716,18.899,1.05
M10,122.1,15.4,122.093,15.423,120.229,66.352,189.026,110.774,131.079,122.674,15.052,0.70
