code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,ana_text,nuc_pre_text,ana_has_word_end,nuc_is_new_word,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,lh_slope,lh_slope_z,lh_mean_f0,lh_med_f0,utt_mean_f0,utt_slope,utt_slope_z,spkr_f0_mean,spkr_f0_SD,location
F5_A0131_1,F5,F,A0131,1,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,876,0,0,255,255,0.5,255,17,135,13,708,128,146,0,255,0,255,24,179,204,18,835,1,1,1,0.50,0.57,91.06,90.91,91.05,90.33,90.34,0.795,0.376,90.33,90.33,89.81,0.773,0.366,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_1,F5,F,A0131,1,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,876,0,255,876,498,550,876,331,436,13,708,452,659,255,498,550,876,424,534,778,18,835,2,2,4,0.81,0.33,91.06,90.91,89.12,87.29,92.57,31.284,14.791,89.97,90.04,89.81,0.773,0.366,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_2,F5,F,A0131,2,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,1,1,1,!H*,%H !H* L*H %,%H,%,V1,946,0,0,275,275,-0.4,275,39,153,39,745,160,194,0,275,0,275,50,207,251,50,811,1,1,1,0.58,0.71,90.92,90.92,90.92,89.55,89.48,-1.319,-0.623,89.52,89.52,89.40,0.645,0.305,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_2,F5,F,A0131,2,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,2,3,3,L*H,%H !H* L*H %,%H,%,V2,946,0,275,946,506,599,946,347,464,39,745,499,687,275,506,599,946,424,568,747,50,811,2,2,4,0.97,0.25,90.92,90.92,88.96,86.70,91.69,29.138,13.777,89.53,89.91,89.40,0.645,0.305,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_3,F5,F,A0131,3,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,986,0,0,299,299,0.08,299,25,172,25,779,39,86,0,299,0,299,30,46,102,30,830,1,1,1,0.13,0.29,91.16,90.63,91.16,91.15,91.20,1.518,0.718,91.17,91.17,90.25,-0.201,-0.095,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_3,F5,F,A0131,3,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,986,0,299,986,537,594,986,372,475,25,779,516,715,299,537,594,986,423,556,768,30,830,2,2,4,0.91,0.31,91.16,90.63,89.89,87.56,92.49,26.837,12.689,90.44,90.65,90.25,-0.201,-0.095,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_4,F5,F,A0131,4,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,1037,0,0,316,316,0.3,316,21,173,21,794,47,81,0,316,0,316,24,53,91,24,802,1,1,1,0.15,0.26,90.92,90.95,90.92,90.87,90.92,2.135,1.009,90.88,90.88,90.33,1.069,0.505,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_4,F5,F,A0131,4,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,1037,0,316,1037,565,633,1037,390,507,21,794,514,735,316,565,633,1037,421,530,747,24,802,2,2,4,0.80,0.25,90.92,90.95,89.72,88.09,93.34,27.643,13.07,90.49,90.36,90.33,1.069,0.505,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_5,F5,F,A0131,5,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,1,1,1,(*),% (*) L*H %,%,%,V1,969,0,0,281,281,-0.2,281,31,158,31,746,92,197,0,281,0,281,39,117,250,39,811,1,1,1,0.33,0.70,90.31,89.98,90.31,89.98,89.67,-3.451,-1.632,89.82,89.83,89.55,0.787,0.372,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_5,F5,F,A0131,5,VAL'S VALuables.,013,A0131_013,NA,NA,0,1,4,0,2,2,3,3,L*H,% (*) L*H %,%,%,V2,969,0,281,969,529,583,969,354,469,31,746,492,685,281,529,583,969,420,542,751,39,811,2,2,4,0.85,0.26,90.31,89.98,89.40,87.37,91.78,26.175,12.376,89.83,89.98,89.55,0.787,0.372,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
