speaker,min_Hz,mean_Hz,SD_Hz,meanF0,sdF0,medF0,minF0,maxF0,q1F0,q3F0,range,sdMedF0,skew
F5,139.1,189.7,23.6,90.676,2.115,90.628,85.441,97.535,89.246,91.987,12.094,2.031,0.24
F6,151.8,201.3,23.8,91.719,2.022,91.663,86.953,97.773,90.057,93.195,10.82,2.324,0.22
F12,97.8,164.8,21.4,88.237,2.214,88.226,79.335,96.388,86.699,89.633,17.052,2.177,0.18
F15,112.2,159.7,19.3,87.705,2.078,87.718,81.724,95.254,86.411,88.947,13.529,1.876,0.07
F16,151.9,196.9,19.1,91.378,1.654,91.328,86.969,97.714,90.272,92.436,10.745,1.601,0.25
F17,141.2,177.5,19.6,89.566,1.806,89.243,85.698,97.949,88.335,90.446,12.251,1.524,0.97
M4,49.5,86.4,13.2,77.001,2.548,76.618,67.548,85.427,75.1,78.806,17.879,2.626,0.44
M5,80.3,117.1,21.1,82.187,3.066,82.056,75.938,91.201,79.768,84.53,15.263,3.51,0.21
M8,88.5,124.7,18.9,83.357,2.594,83.436,77.621,91.148,81.281,85.231,13.528,2.953,0.11
M9,98.3,139.6,20.5,85.331,2.421,84.892,79.432,94.52,83.497,86.887,15.089,2.449,0.68
M10,66.4,122.1,15.4,83.049,2.133,82.916,72.625,90.749,81.498,84.412,18.124,2.159,0.35
