code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_strt_t,foot_end_t,stress_end_t,wrd_fin_syl_strt_t,wrd_end_t,v_onset_t,v_offset_t,strt_t,end_t,l_t,h_t,l_syl_strt_t,l_syl_end_t,h_syl_strt_t,h_syl_end_t,v_sylNormT,l_sylNormT,h_sylNormT,v_syl,l_syl,h_syl,v_syl_ratio,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,intercept_st,mean_st,med_st,location
F5_A0131_1,F5,F,A0131,1,VAL'S VALuables.,013,A0131_013,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,876,0,0,255,255,0.5,255,17,135,13,708,128,146,0,255,0,255,24,179,204,1,1,1,0.07,0.50,0.57,91.06,90.91,91.05,89.12,89.12,0.795,89.858,90.33,90.33,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_1,F5,F,A0131,1,VAL'S VALuables.,013,A0131_013,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,876,0,255,876,498,550,876,331,436,13,708,452,659,255,498,550,876,424,534,778,2,2,4,0.31,0.81,0.33,91.06,90.91,89.12,89.12,89.12,31.284,58.207,89.97,90.04,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_2,F5,F,A0131,2,VAL'S VALuables.,013,A0131_013,4,0,2,1,1,1,!H*,%H !H* L*H %,%H,%,V1,946,0,0,275,275,-0.4,275,39,153,39,745,160,194,0,275,0,275,50,207,251,1,1,1,0.14,0.58,0.71,90.92,90.92,90.92,88.96,88.96,-1.319,89.925,89.52,89.52,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_2,F5,F,A0131,2,VAL'S VALuables.,013,A0131_013,4,0,2,2,3,3,L*H,%H !H* L*H %,%H,%,V2,946,0,275,946,506,599,946,347,464,39,745,499,687,275,506,599,946,424,568,747,2,2,4,0.31,0.97,0.25,90.92,90.92,88.96,88.96,88.96,29.138,68.489,89.53,89.91,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_3,F5,F,A0131,3,VAL'S VALuables.,013,A0131_013,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,986,0,0,299,299,0.08,299,25,172,25,779,39,86,0,299,0,299,30,46,102,1,1,1,0.08,0.13,0.29,91.16,90.63,91.16,89.89,89.89,1.518,90.72,91.17,91.17,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_3,F5,F,A0131,3,VAL'S VALuables.,013,A0131_013,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,986,0,299,986,537,594,986,372,475,25,779,516,715,299,537,594,986,423,556,768,2,2,4,0.31,0.91,0.31,91.16,90.63,89.89,89.89,89.89,26.837,67.508,90.44,90.65,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_4,F5,F,A0131,4,VAL'S VALuables.,013,A0131_013,4,0,2,1,1,1,H*,% H* L*H %,%,%,V1,1037,0,0,316,316,0.3,316,21,173,21,794,47,81,0,316,0,316,24,53,91,1,1,1,0.07,0.15,0.26,90.92,90.95,90.92,89.72,89.72,2.135,90.03,90.88,90.88,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_4,F5,F,A0131,4,VAL'S VALuables.,013,A0131_013,4,0,2,2,3,3,L*H,% H* L*H %,%,%,V2,1037,0,316,1037,565,633,1037,390,507,21,794,514,735,316,565,633,1037,421,530,747,2,2,4,0.30,0.80,0.25,90.92,90.95,89.72,89.72,89.72,27.643,63.967,90.49,90.36,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_5,F5,F,A0131,5,VAL'S VALuables.,013,A0131_013,4,0,2,1,1,1,(*),% (*) L*H %,%,%,V1,969,0,0,281,281,-0.2,281,31,158,31,746,92,197,0,281,0,281,39,117,250,1,1,1,0.11,0.33,0.70,90.31,89.98,90.31,89.40,89.40,-3.451,91.366,89.82,89.83,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0131_5,F5,F,A0131,5,VAL'S VALuables.,013,A0131_013,4,0,2,2,3,3,L*H,% (*) L*H %,%,%,V2,969,0,281,969,529,583,969,354,469,31,746,492,685,281,529,583,969,420,542,751,2,2,4,0.29,0.85,0.26,90.31,89.98,89.40,89.40,89.40,26.175,66.55,89.83,89.98,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0221_s1,F5,F,A0221,s1,VAL'S is VALid,022,A0221_022,4,0,2,1,2,1,>H*,%H >H* L*H %,%H,%,V1,835,0,0,423,284,0.5,284,37,155,37,741,149,308,0,284,284,423,44,176,358,1,1,2,0.13,0.52,0.17,92.02,92.51,92.02,89.75,89.75,4.777,90.677,91.94,91.82,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
