intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.363,-0.4010968261115104,3.1271972329890856,0.697,1.956,5.27,0.105,0.348,
foot_syls1,foot_syls3,1.669,1.1905259181541514,2.1464789145677465,0.243,6.853,763.39,1.5e-11,2.1e-10,p<0.001
foot_syls1,foot_syls4,1.258,-0.5060829486123595,3.0224374558515956,0.697,1.806,5.26,0.128,0.39,
foot_syls2,foot_syls3,0.305,-1.4565637766892263,2.067468202540727,0.706,0.433,5.54,0.681,0.876,
foot_syls2,foot_syls4,-0.105,-1.8673977957093288,1.6576518960796076,0.703,-0.149,5.46,0.887,0.939,
foot_syls3,foot_syls4,-0.41,-2.1724539706576573,1.351803645179306,0.705,-0.582,5.52,0.584,0.834,
pre_syls0,pre_syls1,0.506,-1.2740627259830806,2.285551235402984,0.672,0.753,4.54,0.489,0.77,
pre_syls0,pre_syls2,0.203,-2.0537091494018473,2.460093424612223,0.871,0.233,4.88,0.825,0.932,
pre_syls0,pre_syls3,0.195,-2.062069393811661,2.452827608022313,0.872,0.224,4.88,0.832,0.932,
pre_syls1,pre_syls2,-0.303,-1.696023327795003,1.0909190935876345,0.555,-0.545,5.44,0.607,0.834,
pre_syls1,pre_syls3,-0.31,-1.7046925623920282,1.0839622669468234,0.555,-0.559,5.42,0.598,0.834,
pre_syls2,pre_syls3,-0.008,-0.8905492591200319,0.8749231979151759,0.351,-0.022,5.38,0.983,0.993,
intercept,fin_phonL%,-5.594,-6.343751662685398,-4.844240177241491,0.382,-14.647,768.79,5.0e-43,1.6e-41,p<0.001
