intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,10.658,-5.283726541994374,26.59919934999663,5.63,1.893,3.81,0.135,0.283,
foot_syls1,foot_syls3,117.285,108.88099865414132,125.68977796200409,4.281,27.397,734.4,2.1e-114,7.3e-113,p<0.001
foot_syls1,foot_syls4,248.725,229.4860725416651,267.9644247380428,7.082,35.12,4.24,2.2e-06,1.3e-05,p<0.001
foot_syls2,foot_syls3,106.628,91.10548191870946,122.14980881493436,5.976,17.844,4.83,1.3e-05,6.9e-05,p<0.001
foot_syls2,foot_syls4,238.068,219.01558854289735,257.11942328628663,7.268,32.755,4.7,1.0e-06,6.4e-06,p<0.001
foot_syls3,foot_syls4,131.44,112.41284145590336,150.4668796625835,7.285,18.043,4.75,1.5e-05,7.2e-05,p<0.001
pre_syls0,pre_syls1,-30.898,-54.39348053528936,-7.402905866297445,4.604,-6.711,1.7,0.032,0.082,
pre_syls0,pre_syls2,-30.058,-53.613038520270834,-6.502738684490428,7.145,-4.207,2.83,0.028,0.075,
pre_syls0,pre_syls3,-35.267,-58.01270540891447,-12.520886085089003,7.378,-4.78,3.18,0.015,0.05,p<0.05
pre_syls1,pre_syls2,0.84,-13.75035116529099,15.430950203226791,5.45,0.154,4.41,0.884,0.943,
pre_syls1,pre_syls3,-4.369,-18.868651540981816,10.131428564817275,5.728,-0.763,5.27,0.478,0.678,
pre_syls2,pre_syls3,-5.209,-16.117448756265667,5.699634939243403,4.266,-1.221,5.09,0.276,0.473,
intercept,fin_phonL%,-6.142,-19.071453734974853,6.786775500234205,6.586,-0.933,744.33,0.351,0.548,
intercept,nuc_new_wordTRUE,-5.885,-16.838068727097177,5.067395795660963,4.277,-1.376,5.07,0.227,0.417,
intercept,genderM,-47.763,-84.03672222915719,-11.489366792426956,16.033,-2.979,8.99,0.015,0.05,p<0.05
