intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.4,-2.1670153737428897,2.975088339457702,0.99,0.41,4.9,0.702,0.88,
foot_syls1,foot_syls3,1.92,1.6059903282110213,2.2376650321083837,0.16,11.95,708.1,4.3e-30,4.2e-29,p<.001
foot_syls1,foot_syls4,1.52,-1.444892213512499,4.49187909585592,1.15,1.33,4.91,0.243,0.459,
foot_syls2,foot_syls3,1.52,-1.0517436443766748,4.087326039377836,1,1.52,4.95,0.189,0.381,
foot_syls2,foot_syls4,1.12,-1.847884724725136,4.086798642216524,1.15,0.97,4.94,0.376,0.594,
foot_syls3,foot_syls4,-0.4,-3.3655620145165672,2.5688935364051932,1.15,-0.35,4.95,0.743,0.88,
pre_syls0,pre_syls1,0.6,-1.9778635587204532,3.174583749877937,0.99,0.61,4.75,0.572,0.753,
pre_syls0,pre_syls2,1.38,-1.9208776466163064,4.682379328825024,1.27,1.09,4.82,0.328,0.548,
pre_syls0,pre_syls3,1.29,-2.015464289916262,4.587602727792793,1.27,1.01,4.83,0.359,0.592,
pre_syls1,pre_syls2,0.78,-1.2829209449473926,2.8477024359795142,0.8,0.98,4.94,0.374,0.594,
pre_syls1,pre_syls3,0.69,-1.3775866720184275,2.7530049186226027,0.8,0.86,4.94,0.43,0.637,
pre_syls2,pre_syls3,-0.09,-1.3796877861082135,1.1903245423096902,0.5,-0.19,4.94,0.857,0.92,
intercept,fin_phonL%,-0.82,-1.320042342264493,-0.32050107685398316,0.255,-3.222,750.41,0.001,0.004,p<.01
intercept,nuc_new_wordTRUE,0.571,-0.912678297029574,2.054919579550003,0.575,0.993,4.94,0.367,0.594,
intercept,genderM,0.42,-0.8955677297542669,1.7355734018156674,0.582,0.722,9,0.488,0.692,
