intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.85,0.3077634524171323,1.3935910163577887,0.28,3.08,701.76,0.002,0.007,p<0.01
foot_syls1,foot_syls3,2.3,1.8670935623188951,2.724743809081562,0.22,10.51,717.45,3.9e-24,3.5e-23,p<0.001
foot_syls1,foot_syls4,2.03,1.35359977846398,2.71220692091952,0.35,5.87,746,6.4e-09,3.7e-08,p<0.001
foot_syls2,foot_syls3,1.45,0.8680092469462068,2.0224734622451233,0.29,4.92,693.3,1.1e-06,5.9e-06,p<0.001
foot_syls2,foot_syls4,1.18,0.4800824982834667,1.884368879972243,0.36,3.31,708.09,1.0e-03,0.004,p<0.01
foot_syls3,foot_syls4,-0.26,-0.967124890880298,0.4410944049864897,0.36,-0.73,756.42,0.464,0.67,
pre_syls0,pre_syls1,0.81,0.37741926285162153,1.2409584718091715,0.22,3.68,702.63,2.5e-04,0.001,p<0.01
pre_syls0,pre_syls2,0.74,0.05935876602786372,1.426205533711823,0.35,2.13,667.06,0.033,0.091,
pre_syls0,pre_syls3,1.14,0.4304372338775767,1.8431625186811984,0.36,3.16,642.66,0.002,0.006,p<0.01
pre_syls1,pre_syls2,-0.07,-0.5962429952657012,0.4634306985334248,0.27,-0.25,608.2,0.806,0.898,
pre_syls1,pre_syls3,0.33,-0.22999248842704273,0.8852139316690502,0.28,1.15,582.49,0.249,0.462,
pre_syls2,pre_syls3,0.39,-0.01375707390903624,0.8017941624831099,0.21,1.9,382.33,0.058,0.148,
intercept,fin_phonL%,-0.619,-1.284093603304386,0.04511127444659235,0.339,-1.83,766.47,0.068,0.168,
intercept,nuc_new_wordTRUE,0.463,0.04934948378607712,0.8762827467646235,0.211,2.198,657.37,0.028,0.085,
