intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.39,-8.127659096068395,10.907548641742128,4.848,0.287,769.58,0.7744324051721904,NA,NA
foot_syls1,foot_syls3,111.046,103.63465984275223,118.45768083011203,3.776,29.412,768.97,5.402967328678824e-128,NA,NA
foot_syls1,foot_syls4,272.275,257.81428697600205,286.7358785357192,7.367,36.961,773.31,4.726755995251701e-173,NA,NA
foot_syls2,foot_syls3,109.656,98.56832512945873,120.74412599039177,5.648,19.414,772.77,1.0928810810612777e-68,NA,NA
foot_syls2,foot_syls4,270.885,253.80105974572461,287.96921621478396,8.703,31.126,775.06,1.2712349009585532e-138,NA,NA
foot_syls3,foot_syls4,161.229,147.79629829075924,174.66152654886486,6.843,23.562,771.09,6.946408604167623e-93,NA,NA
pre_syls0,pre_syls1,0.567,-8.651037353735584,9.784794413702182,4.696,0.121,774.95,0.9039430190741756,NA,NA
pre_syls0,pre_syls2,12.455,-1.7648871762815208,26.674027728739127,7.244,1.719,773.24,0.08594376239487653,NA,NA
pre_syls0,pre_syls3,19.85,3.8589337404808592,35.84161676432146,8.146,2.437,774.94,0.015044582812154966,NA,NA
pre_syls1,pre_syls2,11.888,2.745557055360825,21.029826479027435,4.657,2.553,768.95,0.010884471793582345,NA,NA
pre_syls1,pre_syls3,19.283,8.786423882855944,29.780369553667214,5.347,3.606,771.91,3.307023895687506e-4,NA,NA
pre_syls2,pre_syls3,7.396,0.2058982377633134,14.585511731697622,3.663,2.019,766.8,0.04380562384036405,NA,NA
intercept,fin_phonL%,-44.384,-55.304776767338566,-33.462931544712234,5.563,-7.978,770.93,5.374220021229583e-15,NA,NA
intercept,nuc_new_wordTRUE,-7.159,-14.084825012554816,-0.2322890576123422,3.528,-2.029,768.22,0.04281362637670327,NA,NA
intercept,genderM,-52.076,-77.88176610169197,-26.269518720989826,11.423,-4.559,9.08,0.0013374164327986135,NA,NA
intercept,speech_rate,-20.83,-24.36861083333124,-17.29112409107495,1.803,-11.555,775.7,1.316420025685329e-28,NA,NA
