intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.51,-0.20926779696263653,1.2291434841999136,0.286,1.786,5.37,0.13,0.403,
foot_syls1,foot_syls3,0.464,0.20094043365565573,0.7278537985507781,0.134,3.46,754.5,5.7e-04,0.005,p<0.01
foot_syls1,foot_syls4,0.872,0.04158244520630805,1.703161014019282,0.33,2.645,5.36,0.043,0.18,
foot_syls2,foot_syls3,-0.046,-0.7639774959524418,0.6728960409329171,0.291,-0.156,5.82,0.881,0.932,
foot_syls2,foot_syls4,0.362,-0.46762154913428666,1.1924893211172352,0.334,1.086,5.63,0.322,0.704,
foot_syls3,foot_syls4,0.408,-0.4219765874578467,1.237925814482126,0.334,1.22,5.67,0.271,0.659,
pre_syls0,pre_syls1,0.124,-0.6120215314686853,0.8602389153180551,0.266,0.467,4.02,0.665,0.87,
pre_syls0,pre_syls2,-0.147,-1.0765815058812755,0.7830805609599798,0.353,-0.416,4.63,0.696,0.871,
pre_syls0,pre_syls3,-0.145,-1.0764448442278949,0.7856154662315099,0.353,-0.412,4.61,0.699,0.871,
pre_syls1,pre_syls2,-0.271,-0.8483282249464928,0.3066098961747227,0.233,-1.165,5.66,0.291,0.667,
pre_syls1,pre_syls3,-0.27,-0.8483685771658449,0.3093218153050005,0.232,-1.161,5.57,0.293,0.667,
pre_syls2,pre_syls3,0.001,-0.3596868759543494,0.3623584428495407,0.144,0.009,5.43,0.993,0.993,
intercept,fin_phonL%,-0.03,-0.4413030165674357,0.38161918484866447,0.21,-0.142,759.11,0.887,0.932,
intercept,nuc_new_word1,0.245,-0.17054536162630168,0.6606175839472417,0.166,1.474,5.51,0.195,0.511,
