intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,2.029,-6.622235002962711,10.681117219786865,4.407,0.46,760.08,0.645,0.842,
foot_syls1,foot_syls3,2.926,-3.919050824523884,9.771879301803184,3.487,0.839,737.4,0.402,0.6,
foot_syls1,foot_syls4,0.595,-10.306944310296966,11.49637056551492,5.553,0.107,763.56,0.915,0.943,
foot_syls2,foot_syls3,0.897,-8.29252191282211,10.086468173078352,4.681,0.192,762.13,0.848,0.923,
foot_syls2,foot_syls4,-1.435,-12.66491428269256,9.795458320366984,5.721,-0.251,764.61,0.802,0.918,
foot_syls3,foot_syls4,-2.332,-13.626977439333007,8.963575206683835,5.754,-0.405,764.73,0.685,0.842,
pre_syls0,pre_syls1,-7.774,-14.652484396316291,-0.895837258890479,3.504,-2.219,766.13,0.027,0.075,
pre_syls0,pre_syls2,-6.008,-16.92175090960224,4.9053648571100315,5.559,-1.081,768.94,0.28,0.473,
pre_syls0,pre_syls3,-13.489,-24.788140310039736,-2.1893794245313334,5.756,-2.343,768.88,0.019,0.059,
pre_syls1,pre_syls2,1.766,-6.698780842229138,10.23071646538714,4.312,0.41,767.01,0.682,0.842,
pre_syls1,pre_syls3,-5.715,-14.65583784114092,3.2266396835419435,4.555,-1.255,764.1,0.21,0.393,
pre_syls2,pre_syls3,-7.481,-14.12040403352243,-0.8407297430418632,3.382,-2.212,751.23,0.027,0.075,
intercept,fin_phonL%,3.798,-6.82393714143589,14.419353471967629,5.411,0.702,773.59,0.483,0.678,
intercept,nuc_new_wordTRUE,-5,-11.662963421247284,1.663360987858565,3.394,-1.473,766.96,0.141,0.289,
intercept,genderM,-54.153,-71.3625308106608,-36.94254165042824,7.603,-7.122,8.96,5.6e-05,2.6e-04,p<0.001
