intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.023,-0.4218251668811872,0.3751186087845415,0.161,-0.145,5.72,0.89,0.932,
foot_syls1,foot_syls3,-0.129,-0.19713394300214537,-0.06180056096328552,0.034,-3.756,757.94,1.9e-04,0.002,p<0.01
foot_syls1,foot_syls4,-0.775,-1.173453359747365,-0.37650588515178224,0.161,-4.817,5.72,0.003,0.021,p<0.05
foot_syls2,foot_syls3,-0.106,-0.5045593613651393,0.29233141549668357,0.162,-0.656,5.83,0.537,0.809,
foot_syls2,foot_syls4,-0.752,-1.15007553047477,-0.35317715632810265,0.161,-4.656,5.8,0.004,0.022,p<0.05
foot_syls3,foot_syls4,-0.646,-1.0439581333395904,-0.2470666075837807,0.162,-3.994,5.82,0.008,0.042,p<0.05
pre_syls0,pre_syls1,0.274,-0.12476466665634672,0.6728119786952653,0.159,1.726,5.42,0.14,0.417,
pre_syls0,pre_syls2,0.359,-0.1487468102690651,0.8674676183841606,0.204,1.764,5.56,0.132,0.403,
pre_syls0,pre_syls3,0.376,-0.1322081835039548,0.8840371709118466,0.204,1.845,5.56,0.118,0.403,
pre_syls1,pre_syls2,0.085,-0.22966536883694905,0.4003388649142661,0.128,0.669,5.79,0.529,0.809,
pre_syls1,pre_syls3,0.102,-0.2131390397092106,0.416920714908494,0.128,0.798,5.79,0.456,0.76,
pre_syls2,pre_syls3,0.017,-0.1827142590886184,0.21582243825588743,0.081,0.205,5.79,0.845,0.93,
intercept,fin_phonL%,0.096,-0.0102599720917885,0.2015263568422822,0.054,1.773,763.27,0.077,0.291,
