ana_syls,acc_phon,gender
0,>H*,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
0,L*H,F
1,>H*,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
1,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
2,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
3,L*H,F
0,>H*,M
0,>H*,M
0,>H*,M
0,>H*,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
0,L*H,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,H*,M
1,>H*,M
1,>H*,M
1,>H*,M
1,>H*,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
1,L*H,M
2,>H*,M
2,>H*,M
2,>H*,M
2,>H*,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
2,L*H,M
3,>H*,M
3,>H*,M
3,>H*,M
3,>H*,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
3,L*H,M
