intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.363,-0.40109682611151043,3.1271972329890856,0.697,1.956,5.27,0.10491402877852908,NA,NA
foot_syls1,foot_syls3,1.669,1.1905259181541514,2.1464789145677465,0.243,6.853,763.39,1.49458983363764e-11,NA,NA
foot_syls1,foot_syls4,1.258,-0.5060829486123595,3.0224374558515956,0.697,1.806,5.26,0.12781112527730706,NA,NA
foot_syls2,foot_syls3,0.305,-1.4565637766892265,2.067468202540727,0.706,0.433,5.54,0.6814615350708306,NA,NA
foot_syls2,foot_syls4,-0.105,-1.8673977957093288,1.6576518960796076,0.703,-0.149,5.46,0.8867643617584606,NA,NA
foot_syls3,foot_syls4,-0.41,-2.1724539706576573,1.351803645179306,0.705,-0.582,5.52,0.5835104828022168,NA,NA
pre_syls0,pre_syls1,0.506,-1.2740627259830806,2.285551235402984,0.672,0.753,4.54,0.48853239138478705,NA,NA
pre_syls0,pre_syls2,0.203,-2.0537091494018473,2.460093424612223,0.871,0.233,4.88,0.8250918561176019,NA,NA
pre_syls0,pre_syls3,0.195,-2.062069393811661,2.452827608022313,0.872,0.224,4.88,0.8317010849637674,NA,NA
pre_syls1,pre_syls2,-0.303,-1.696023327795003,1.0909190935876345,0.555,-0.545,5.44,0.607497440359473,NA,NA
pre_syls1,pre_syls3,-0.31,-1.7046925623920282,1.0839622669468234,0.555,-0.559,5.42,0.5984585583630899,NA,NA
pre_syls2,pre_syls3,-0.008,-0.8905492591200319,0.8749231979151759,0.351,-0.022,5.38,0.9830291668762394,NA,NA
intercept,fin_phonL%,-5.594,-6.343751662685398,-4.844240177241491,0.382,-14.647,768.79,5.037214191028543e-43,NA,NA
