intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,10.675,-67.18952131340994,88.53966776961344,30.26,0.353,4.98,0.7386836147228653,NA,NA
foot_syls1,foot_syls3,117.213,108.80470034164527,125.62165685715466,4.283,27.367,733.62,3.47538888980481e-114,NA,NA
foot_syls1,foot_syls4,258.874,168.97027069249407,348.77800477249525,34.953,7.406,4.99,7.125248482457879e-4,NA,NA
foot_syls2,foot_syls3,106.538,28.707993001917615,184.3682179310631,30.326,3.513,5.03,0.016894004945783945,NA,NA
foot_syls2,foot_syls4,248.199,158.31534519084957,338.0827838783772,34.991,7.093,5.01,8.540865474212925e-4,NA,NA
foot_syls3,foot_syls4,141.661,51.77899529977296,231.54292263750656,34.996,4.048,5.01,0.009787355002154857,NA,NA
pre_syls0,pre_syls1,-30.92,-108.88558536522243,47.046005700770024,30.086,-1.028,4.87,0.35239487239502526,NA,NA
pre_syls0,pre_syls2,-4.456,-104.41657943431704,95.50358671631486,38.7,-0.115,4.92,0.9128725808341003,NA,NA
pre_syls0,pre_syls3,-40.541,-140.49913067666137,59.4169512910384,38.705,-1.047,4.92,0.34356205321604844,NA,NA
pre_syls1,pre_syls2,26.463,-36.09961005603536,89.02619708361149,24.341,1.087,5,0.3265470872397744,NA,NA
pre_syls1,pre_syls3,-9.621,-72.18376948111064,52.94116984867721,24.344,-0.395,5,0.7089668333386749,NA,NA
pre_syls2,pre_syls3,-36.085,-75.01026911615219,2.8410824432768322,15.146,-2.383,5,0.06293681151730908,NA,NA
intercept,fin_phonL%,-5.012,-18.029170404070122,8.00491307437532,6.631,-0.756,766.54,0.4499623081343517,NA,NA
intercept,genderM,-47.809,-84.05457781909837,-11.564205523195312,16.02,-2.984,8.99,0.015356291795289414,NA,NA
intercept,nuc_new_word1,4.284,-40.663365045212345,49.23042341574923,17.488,0.245,5,0.8162278645172031,NA,NA
