intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
pre_syls0,pre_syls1,0.162,-0.10823651232228959,0.4319490099034279,0.138,1.176,761.85,0.2398024030737653,NA,NA
pre_syls0,pre_syls2,-0.211,-0.5998221982617142,0.17802743150517356,0.198,-1.065,760,0.28744017516316656,NA,NA
pre_syls0,pre_syls3,-0.13,-0.5174482803171887,0.25716643732887917,0.197,-0.66,761.93,0.5096942814827994,NA,NA
pre_syls1,pre_syls2,-0.373,-0.6526719493621912,-0.09283531454531169,0.143,-2.614,753.81,0.009122580211991823,NA,NA
pre_syls1,pre_syls3,-0.292,-0.5687670070579881,-0.015227332518468972,0.141,-2.071,759.6,0.03868685773276312,NA,NA
pre_syls2,pre_syls3,0.081,-0.08979342461406982,0.251306348252669,0.087,0.93,761.95,0.35290782830121714,NA,NA
foot_syls1,foot_syls2,0.467,0.12545328635769654,0.8091710092076672,0.174,2.683,759.72,0.007444262210939303,NA,NA
foot_syls1,foot_syls3,0.445,0.17539583137197312,0.7137952740918795,0.137,3.242,738.67,0.0012390178800405693,NA,NA
foot_syls1,foot_syls4,0.591,0.25031802903638084,0.9318569662901139,0.174,3.405,716.04,6.974139747206352e-4,NA,NA
foot_syls2,foot_syls3,-0.023,-0.3846129099410093,0.3391797190457899,0.184,-0.123,760.03,0.9019613938839722,NA,NA
foot_syls2,foot_syls4,0.124,-0.23173474860372673,0.4792854477427056,0.181,0.683,753.65,0.4945111501725429,NA,NA
foot_syls3,foot_syls4,0.146,-0.21151657906733587,0.5045004697431775,0.182,0.803,762.01,0.4220720825891452,NA,NA
intercept,fin_phonL%,-0.037,-0.453867423713516,0.3792065816000229,0.212,-0.176,761.98,0.860393175779975,NA,NA
