intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,2.137,-60.681427919494844,64.95628492072433,24.352,0.088,4.94,0.933502606851436,NA,NA
foot_syls1,foot_syls3,3.024,-3.8366309876251745,9.884054723356577,3.494,0.865,705.84,0.38714486530660364,NA,NA
foot_syls1,foot_syls4,-14.528,-87.06161125668856,58.006399913730405,28.125,-0.517,4.95,0.6277320460760158,NA,NA
foot_syls2,foot_syls3,0.886,-61.90404560265214,63.67661229294348,24.404,0.036,4.98,0.9724386504723188,NA,NA
foot_syls2,foot_syls4,-16.665,-89.17945254603184,55.8493844312021,28.16,-0.592,4.97,0.5798740401247515,NA,NA
foot_syls3,foot_syls4,-17.551,-90.06246150994167,54.95982638080079,28.166,-0.623,4.98,0.5606430966914127,NA,NA
pre_syls0,pre_syls1,-7.775,-70.68489728817869,55.135230318983744,24.204,-0.321,4.82,0.7614921015413818,NA,NA
pre_syls0,pre_syls2,-11.807,-92.45508569452743,68.84160003243123,31.143,-0.379,4.88,0.7205362897198939,NA,NA
pre_syls0,pre_syls3,-38.223,-118.87076765216045,42.42534404095295,31.145,-1.227,4.88,0.27559958633841175,NA,NA
pre_syls1,pre_syls2,-4.032,-54.50032719683997,46.43650860798119,19.597,-0.206,4.97,0.8451580630061228,NA,NA
pre_syls1,pre_syls3,-30.448,-80.91703774571334,20.021281034831823,19.598,-1.554,4.97,0.18133491164952453,NA,NA
pre_syls2,pre_syls3,-26.416,-57.81866290974372,4.986724390427231,12.191,-2.167,4.97,0.08284437651275427,NA,NA
intercept,fin_phonL%,2.959,-7.757335041737682,13.674563333101386,5.459,0.542,772.88,0.5879857914175668,NA,NA
intercept,nuc_new_word1,-20.228,-56.48728512155316,16.032151596773446,14.076,-1.437,4.97,0.21060927979025562,NA,NA
intercept,genderM,-54.108,-71.29235182027263,-36.923799845394456,7.592,-7.127,8.96,5.616727455139422e-5,NA,NA
