intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,acc_phon>H*,48.206,23.226339668070075,73.18561223077492,12.663,3.807,189.26,1.9011024291441597e-4,NA,NA
acc_phonH*,acc_phonL*H,88.224,63.53688047113994,112.91198398042664,12.518,7.048,195.38,3.0454032107752925e-11,NA,NA
acc_phon>H*,acc_phonL*H,40.018,21.654820755812196,58.38209115931538,9.312,4.298,196.26,2.7152012022055017e-5,NA,NA
ana_syls0,ana_syls1,-65.211,-77.62699568449537,-52.795981273939105,6.294,-10.361,188.42,3.39343272654755e-20,NA,NA
ana_syls0,ana_syls2,-29.266,-41.30761756109321,-17.224683523832603,6.104,-4.794,189.16,3.296882892615896e-6,NA,NA
ana_syls0,ana_syls3,-18.073,-30.160643812117755,-5.985114780351937,6.128,-2.949,189.23,0.0035869717568583785,NA,NA
ana_syls1,ana_syls2,35.945,24.5222505765543,47.368425417179566,5.791,6.207,189.32,3.3325805736044204e-9,NA,NA
ana_syls1,ana_syls3,47.139,35.6659403349727,58.61127815816954,5.816,8.105,189.4,6.386404127222717e-14,NA,NA
ana_syls2,ana_syls3,11.193,0.5577410992360718,21.828801400188024,5.391,2.076,187.95,0.0392440058352377,NA,NA
intercept,genderM,-75.839,-114.91271764883169,-36.765072963234964,17.327,-4.377,9.19,0.0016926396332695034,NA,NA
