intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,acc_phon>H*,38.845,8.39819778948172,69.2923042852708,15.413,2.52,154.68,0.012739517888603924,NA,NA
acc_phonH*,acc_phonL*H,96.731,75.23087655138306,118.23098172916431,10.889,8.884,163.98,1.1026005554442621e-15,NA,NA
acc_phon>H*,acc_phonL*H,57.886,30.910370782278513,84.86098541465535,13.668,4.235,175.8,3.6793759158144874e-5,NA,NA
foot_syls1,foot_syls2,44.808,26.701206359108042,62.91471617096292,9.166,4.889,153.95,2.5282477648665658e-6,NA,NA
foot_syls1,foot_syls3,69.784,51.342551818485475,88.22549575396857,9.341,7.471,166.47,4.276122570285098e-12,NA,NA
foot_syls1,foot_syls4,71.135,50.17331781340776,92.09569803316178,10.618,6.699,169.07,2.9767556707148886e-10,NA,NA
foot_syls2,foot_syls3,24.976,7.857922929965088,42.09420210802085,8.663,2.883,148.14,0.004522918347275454,NA,NA
foot_syls2,foot_syls4,26.327,6.482918935763799,46.17017437495547,10.044,2.621,152,0.00965366265975901,NA,NA
foot_syls3,foot_syls4,1.35,-17.38972745723528,20.090695730973522,9.491,0.142,163.39,0.8870217514637423,NA,NA
intercept,genderM,-82.349,-114.200300270983,-50.4978133302499,14.627,-5.63,12.07,1.085396817841073e-4,NA,NA
