intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,acc_phon>H*,39.263,8.00961512156654,70.51671178500187,15.819,2.482,152.39,0.014150964462930484,NA,NA
acc_phonH*,acc_phonL*H,96.579,74.5017575085879,118.65553147867462,11.18,8.638,162.82,5.038843324304566e-15,NA,NA
acc_phon>H*,acc_phonL*H,57.315,29.56521230886349,85.06575678552913,14.062,4.076,176.92,6.911772314291589e-5,NA,NA
foot_syls1,foot_syls2,45.468,26.811683096802245,64.12493713864313,9.444,4.814,153.96,3.49654989061335e-6,NA,NA
foot_syls1,foot_syls3,67.921,48.960744439769115,86.88089072590728,9.604,7.072,167.37,3.9557196701024945e-11,NA,NA
foot_syls1,foot_syls4,71.777,50.19312560603272,93.36053470701067,10.934,6.565,169.91,6.077082853545694e-10,NA,NA
foot_syls2,foot_syls3,22.453,4.87135535083042,40.033661118839845,8.897,2.524,147.77,0.01266998452196705,NA,NA
foot_syls2,foot_syls4,26.309,5.860868522600782,46.75617372039513,10.349,2.542,151.59,0.01202446963307375,NA,NA
foot_syls3,foot_syls4,3.856,-15.390603555990822,23.102629360431912,9.748,0.396,164.21,0.6929213950176086,NA,NA
intercept,genderM,-80.242,-112.17667625358419,-48.30636475601333,14.686,-5.464,12.21,1.3560780639116642e-4,NA,NA
