intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,88.322,85.43288146376547,91.21189881246856,1.326,66.624,11.96,9.611208461179984e-17,NA,NA
acc_phon>H*,88.368,85.46024233749235,91.27532950248793,1.34,65.931,12.49,2.893012146483565e-17,NA,NA
acc_phonL*H,88.282,85.39496866777588,91.1682210477467,1.323,66.711,11.88,1.1623194367556862e-16,NA,NA
ana_syls0,88.322,85.43288146376547,91.21189881246856,1.326,66.624,11.96,9.611208461179984e-17,NA,NA
ana_syls1,88.535,85.7260551711959,91.34354662616667,1.277,69.33,11.06,5.940297977729944e-16,NA,NA
ana_syls2,88.522,85.60824929530816,91.43578852731204,1.345,65.794,12.7,1.8080329157506628e-17,NA,NA
ana_syls3,87.817,84.9029690080034,90.73164411205985,1.346,65.248,12.71,1.9269918584469602e-17,NA,NA
foot_syls1,88.322,85.43288146376547,91.21189881246856,1.326,66.624,11.96,9.611208461179984e-17,NA,NA
foot_syls2,88.576,85.69081683449096,91.4619681481118,1.322,67.001,11.81,1.3049561242262211e-16,NA,NA
foot_syls3,89.196,86.30512668968042,92.08601314895505,1.326,67.244,11.99,8.022024678825531e-17,NA,NA
foot_syls4,89.024,86.11637333331235,91.93104873165201,1.34,66.425,12.49,2.6360159710177197e-17,NA,NA
wrd_end_syl1,88.322,85.43288146376547,91.21189881246856,1.326,66.624,11.96,9.611208461179984e-17,NA,NA
wrd_end_syl2,88.387,85.47364532720852,91.29994430156216,1.345,65.725,12.66,1.9873082601714282e-17,NA,NA
wrd_end_syl3,88.873,85.93053200039247,91.81526664187541,1.368,64.984,13.55,2.6510625441956494e-18,NA,NA
