intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,acc_phon>H*,0.039,-0.4653663824096934,0.5441497318686732,0.257,0.153,717.2,0.8782714054234475,NA,NA
acc_phonH*,acc_phonL*H,-0.03,-0.3974648909593731,0.33751841202909805,0.187,-0.16,718.33,0.8728254408379214,NA,NA
acc_phon>H*,acc_phonL*H,-0.069,-0.5418260533986936,0.4030962250199304,0.241,-0.288,717.35,0.7732458000401484,NA,NA
ana_syls0,ana_syls1,0.264,0.010481824747225754,0.5180343568307424,0.129,2.044,717.04,0.04128194425044204,NA,NA
ana_syls0,ana_syls2,0.309,-0.18535762825691277,0.8031514891467022,0.252,1.227,717,0.22022515308640353,NA,NA
ana_syls0,ana_syls3,-0.394,-0.8938055591069065,0.10537989737829079,0.254,-1.549,717,0.12178435306325607,NA,NA
ana_syls1,ana_syls2,0.045,-0.4564397105556156,0.5457173898591569,0.255,0.175,717.02,0.861207878132534,NA,NA
ana_syls1,ana_syls3,-0.658,-1.1638924615725617,-0.1530493817416282,0.257,-2.558,717.02,0.010738540341086154,NA,NA
ana_syls2,ana_syls3,-0.703,-1.2682691743613619,-0.13795034825534336,0.288,-2.442,717,0.014826495268800522,NA,NA
foot_syls1,foot_syls2,0.31,-0.08535596704239767,0.7049071091010528,0.201,1.539,717.06,0.12420338845793291,NA,NA
foot_syls1,foot_syls3,1.146,0.7219123512785804,1.5703089074230032,0.216,5.304,717.03,1.5074023937168137e-7,NA,NA
foot_syls1,foot_syls4,0.716,0.1394341637569112,1.2932901592543322,0.294,2.438,717.01,0.015020083452050642,NA,NA
foot_syls2,foot_syls3,0.836,0.4495192565761174,1.2231508600625884,0.197,4.245,717.12,2.4753980361507796e-5,NA,NA
foot_syls2,foot_syls4,0.407,-0.1432330174256516,0.9564061983750527,0.28,1.452,717.04,0.1469873465576907,NA,NA
foot_syls3,foot_syls4,-0.43,-0.8270171011087173,-0.03247983457942155,0.202,-2.124,717,0.03402933353193872,NA,NA
wrd_end_syl1,wrd_end_syl2,0.06,-0.34678632641866813,0.4663954932513108,0.207,0.289,717.06,0.7728375484005752,NA,NA
wrd_end_syl1,wrd_end_syl3,0.649,-0.022467284136120202,1.3202908726354206,0.342,1.898,717.03,0.05815313014447045,NA,NA
wrd_end_syl2,wrd_end_syl3,0.589,0.05418570250162391,1.1240287191696818,0.272,2.162,717.05,0.03093659177538436,NA,NA
